caja,n,cve_ent,año
0-10%,1,01,2020
10-20%,0,01,2020
20-30%,0,01,2020
30-40%,0,01,2020
40-50%,0,01,2020
50-60%,0,01,2020
60-70%,0,01,2020
70-80%,0,01,2020
80-90%,0,01,2020
90-100%,0,01,2020
0-10%,1,01,2022
10-20%,0,01,2022
20-30%,0,01,2022
30-40%,0,01,2022
40-50%,0,01,2022
50-60%,0,01,2022
60-70%,0,01,2022
70-80%,0,01,2022
80-90%,0,01,2022
90-100%,0,01,2022
0-10%,4,03,2020
10-20%,1,03,2020
20-30%,1,03,2020
30-40%,1,03,2020
40-50%,0,03,2020
50-60%,0,03,2020
60-70%,0,03,2020
70-80%,0,03,2020
80-90%,0,03,2020
90-100%,0,03,2020
0-10%,0,03,2022
10-20%,2,03,2022
20-30%,1,03,2022
30-40%,0,03,2022
40-50%,0,03,2022
50-60%,0,03,2022
60-70%,0,03,2022
70-80%,0,03,2022
80-90%,0,03,2022
90-100%,0,03,2022
0-10%,0,03,2024
10-20%,0,03,2024
20-30%,0,03,2024
30-40%,0,03,2024
40-50%,1,03,2024
50-60%,0,03,2024
60-70%,0,03,2024
70-80%,0,03,2024
80-90%,0,03,2024
90-100%,0,03,2024
0-10%,5,04,2020
10-20%,11,04,2020
20-30%,3,04,2020
30-40%,2,04,2020
40-50%,1,04,2020
50-60%,0,04,2020
60-70%,0,04,2020
70-80%,0,04,2020
80-90%,0,04,2020
90-100%,0,04,2020
0-10%,1,04,2022
10-20%,4,04,2022
20-30%,3,04,2022
30-40%,1,04,2022
40-50%,0,04,2022
50-60%,1,04,2022
60-70%,1,04,2022
70-80%,0,04,2022
80-90%,2,04,2022
90-100%,0,04,2022
0-10%,0,04,2024
10-20%,0,04,2024
20-30%,0,04,2024
30-40%,1,04,2024
40-50%,1,04,2024
50-60%,0,04,2024
60-70%,0,04,2024
70-80%,0,04,2024
80-90%,0,04,2024
90-100%,0,04,2024
0-10%,0,05,2022
10-20%,1,05,2022
20-30%,0,05,2022
30-40%,0,05,2022
40-50%,0,05,2022
50-60%,0,05,2022
60-70%,0,05,2022
70-80%,0,05,2022
80-90%,0,05,2022
90-100%,0,05,2022
0-10%,1,06,2020
10-20%,3,06,2020
20-30%,1,06,2020
30-40%,0,06,2020
40-50%,0,06,2020
50-60%,0,06,2020
60-70%,0,06,2020
70-80%,0,06,2020
80-90%,0,06,2020
90-100%,0,06,2020
0-10%,2,06,2022
10-20%,1,06,2022
20-30%,2,06,2022
30-40%,0,06,2022
40-50%,1,06,2022
50-60%,0,06,2022
60-70%,0,06,2022
70-80%,0,06,2022
80-90%,0,06,2022
90-100%,0,06,2022
0-10%,1,06,2024
10-20%,1,06,2024
20-30%,1,06,2024
30-40%,1,06,2024
40-50%,0,06,2024
50-60%,0,06,2024
60-70%,0,06,2024
70-80%,0,06,2024
80-90%,0,06,2024
90-100%,0,06,2024
0-10%,6,07,2020
10-20%,1,07,2020
20-30%,3,07,2020
30-40%,4,07,2020
40-50%,5,07,2020
50-60%,3,07,2020
60-70%,0,07,2020
70-80%,0,07,2020
80-90%,0,07,2020
90-100%,1,07,2020
0-10%,0,07,2022
10-20%,2,07,2022
20-30%,1,07,2022
30-40%,1,07,2022
40-50%,0,07,2022
50-60%,1,07,2022
60-70%,2,07,2022
70-80%,0,07,2022
80-90%,0,07,2022
90-100%,0,07,2022
0-10%,0,07,2024
10-20%,0,07,2024
20-30%,0,07,2024
30-40%,1,07,2024
40-50%,0,07,2024
50-60%,0,07,2024
60-70%,0,07,2024
70-80%,0,07,2024
80-90%,0,07,2024
90-100%,0,07,2024
0-10%,2,08,2020
10-20%,0,08,2020
20-30%,3,08,2020
30-40%,0,08,2020
40-50%,1,08,2020
50-60%,0,08,2020
60-70%,0,08,2020
70-80%,0,08,2020
80-90%,0,08,2020
90-100%,0,08,2020
0-10%,1,08,2022
10-20%,0,08,2022
20-30%,0,08,2022
30-40%,0,08,2022
40-50%,1,08,2022
50-60%,0,08,2022
60-70%,0,08,2022
70-80%,1,08,2022
80-90%,0,08,2022
90-100%,0,08,2022
0-10%,0,08,2024
10-20%,1,08,2024
20-30%,0,08,2024
30-40%,0,08,2024
40-50%,0,08,2024
50-60%,0,08,2024
60-70%,0,08,2024
70-80%,0,08,2024
80-90%,0,08,2024
90-100%,0,08,2024
0-10%,2,09,2020
