cve_ent,año,con_jcf,sin_jcf,pct_con_jcf
01,2020,223,56363,0.39
01,2022,78,49704,0.16
01,2024,0,54594,0.0
02,2020,0,167741,0.0
02,2022,0,152876,0.0
02,2024,0,144543,0.0
03,2020,475,29895,1.56
03,2022,299,22562,1.31
03,2024,26,26262,0.1
04,2020,2601,30515,7.85
04,2022,1884,29323,6.04
04,2024,255,27757,0.91
05,2020,0,144960,0.0
05,2022,263,135711,0.19
05,2024,0,133762,0.0
06,2020,399,22956,1.71
06,2022,326,21335,1.51
06,2024,157,15269,1.02
07,2020,15316,215317,6.64
07,2022,4862,197538,2.4
07,2024,732,251319,0.29
08,2020,1010,153097,0.66
08,2022,283,144395,0.2
08,2024,102,125365,0.08
09,2020,3888,347247,1.11
09,2022,1885,278992,0.67
09,2024,0,238195,0.0
10,2020,731,73022,0.99
10,2022,1829,71172,2.51
10,2024,361,69475,0.52
11,2020,900,290046,0.31
11,2022,1980,239204,0.82
11,2024,279,238780,0.12
12,2020,9509,155299,5.77
12,2022,3954,134617,2.85
12,2024,2844,111603,2.48
13,2020,2036,130349,1.54
13,2022,453,97706,0.46
13,2024,0,101222,0.0
14,2020,0,356130,0.0
14,2022,961,266053,0.36
14,2024,0,259225,0.0
15,2020,5407,774749,0.69
15,2022,2644,676661,0.39
15,2024,1681,597112,0.28
16,2020,3080,185820,1.63
16,2022,3360,171548,1.92
16,2024,1051,163329,0.64
17,2020,1498,73874,1.99
17,2022,1452,62172,2.28
17,2024,2116,65806,3.12
18,2020,1757,39251,4.28
18,2022,1128,39901,2.75
18,2024,386,34771,1.1
19,2020,1532,234450,0.65
19,2022,0,208983,0.0
19,2024,45,223398,0.02
20,2020,4987,139837,3.44
20,2022,2245,140841,1.57
20,2024,0,141866,0.0
21,2020,381,264998,0.14
21,2022,0,207252,0.0
21,2024,0,241265,0.0
22,2020,690,91415,0.75
22,2022,339,90143,0.37
22,2024,189,77184,0.24
23,2020,2161,97877,2.16
23,2022,1737,65237,2.59
23,2024,1012,65487,1.52
24,2020,983,122961,0.79
24,2022,382,111293,0.34
24,2024,606,103265,0.58
25,2020,1078,118732,0.9
25,2022,830,107150,0.77
25,2024,0,117748,0.0
26,2020,412,116869,0.35
26,2022,523,87306,0.6
26,2024,765,99936,0.76
27,2020,11673,91906,11.27
27,2022,4892,77278,5.95
27,2024,5049,93746,5.11
28,2020,3076,142777,2.11
28,2022,0,139583,0.0
28,2024,1907,135403,1.39
29,2020,1073,58502,1.8
29,2022,1245,45629,2.66
29,2024,948,42517,2.18
30,2020,9424,334807,2.74
30,2022,3211,312137,1.02
30,2024,6137,308636,1.95
31,2020,2032,81651,2.43
31,2022,1532,67552,2.22
31,2024,579,61176,0.94
32,2020,1721,67491,2.49
32,2022,1939,66072,2.85
32,2024,812,64912,1.24
