decil,candidato,con_jcf,tasa_decil,reparto_jcf,cve_ent,año
1,1254,0.0,0.0,0.0,01,2020
2,3694,0.0,0.0,0.0,01,2020
3,4797,0.0,0.0,0.0,01,2020
4,7282,0.0,0.0,0.0,01,2020
5,6793,0.0,0.0,0.0,01,2020
6,6210,0.0,0.0,0.0,01,2020
7,8260,0.0,0.0,0.0,01,2020
8,6809,223.0,0.03275077103833162,1.0,01,2020
9,6401,0.0,0.0,0.0,01,2020
10,5086,0.0,0.0,0.0,01,2020
1,2238,0.0,0.0,0.0,01,2022
2,3718,0.0,0.0,0.0,01,2022
3,6267,0.0,0.0,0.0,01,2022
4,3652,0.0,0.0,0.0,01,2022
5,6209,0.0,0.0,0.0,01,2022
6,5270,0.0,0.0,0.0,01,2022
7,5834,0.0,0.0,0.0,01,2022
8,5602,0.0,0.0,0.0,01,2022
9,6252,0.0,0.0,0.0,01,2022
10,4740,78.0,0.016455696202531647,1.0,01,2022
1,2587,0.0,0.0,0.0,01,2024
2,4766,0.0,0.0,0.0,01,2024
3,4287,0.0,0.0,0.0,01,2024
4,6403,0.0,0.0,0.0,01,2024
5,6298,0.0,0.0,0.0,01,2024
6,6748,0.0,0.0,0.0,01,2024
7,5824,0.0,0.0,0.0,01,2024
8,6082,0.0,0.0,0.0,01,2024
9,5955,0.0,0.0,0.0,01,2024
10,5644,0.0,0.0,0.0,01,2024
1,2084,0.0,0.0,0.0,02,2020
2,5131,0.0,0.0,0.0,02,2020
3,7078,0.0,0.0,0.0,02,2020
4,13625,0.0,0.0,0.0,02,2020
5,14302,0.0,0.0,0.0,02,2020
6,24985,0.0,0.0,0.0,02,2020
7,26118,0.0,0.0,0.0,02,2020
8,24083,0.0,0.0,0.0,02,2020
9,27967,0.0,0.0,0.0,02,2020
10,22368,0.0,0.0,0.0,02,2020
1,4723,0.0,0.0,0.0,02,2022
2,4542,0.0,0.0,0.0,02,2022
3,10048,0.0,0.0,0.0,02,2022
4,10393,0.0,0.0,0.0,02,2022
5,14343,0.0,0.0,0.0,02,2022
6,15804,0.0,0.0,0.0,02,2022
7,16863,0.0,0.0,0.0,02,2022
8,26034,0.0,0.0,0.0,02,2022
9,24888,0.0,0.0,0.0,02,2022
10,25238,0.0,0.0,0.0,02,2022
1,1859,0.0,0.0,0.0,02,2024
2,2466,0.0,0.0,0.0,02,2024
3,7602,0.0,0.0,0.0,02,2024
4,15290,0.0,0.0,0.0,02,2024
5,7803,0.0,0.0,0.0,02,2024
6,14652,0.0,0.0,0.0,02,2024
7,22283,0.0,0.0,0.0,02,2024
8,20519,0.0,0.0,0.0,02,2024
9,24417,0.0,0.0,0.0,02,2024
10,27652,0.0,0.0,0.0,02,2024
1,1663,0.0,0.0,0.0,03,2020
2,1000,0.0,0.0,0.0,03,2020
3,2368,31.0,0.013091216216216216,0.06526315789473684,03,2020
4,3133,73.0,0.023300351101180977,0.15368421052631578,03,2020
5,2510,115.0,0.045816733067729085,0.24210526315789474,03,2020
6,3832,33.0,0.00861169102296451,0.06947368421052631,03,2020
7,3300,111.0,0.03363636363636364,0.2336842105263158,03,2020
8,3318,0.0,0.0,0.0,03,2020
9,4962,0.0,0.0,0.0,03,2020
10,4284,112.0,0.026143790849673203,0.23578947368421052,03,2020
1,608,0.0,0.0,0.0,03,2022
2,184,0.0,0.0,0.0,03,2022
3,1185,0.0,0.0,0.0,03,2022
4,1902,0.0,0.0,0.0,03,2022
5,2481,0.0,0.0,0.0,03,2022
6,2934,0.0,0.0,0.0,03,2022
7,3534,55.0,0.0155631013016412,0.18394648829431437,03,2022
8,2241,112.0,0.0499776885319054,0.3745819397993311,03,2022
9,3753,132.0,0.035171862509992005,0.4414715719063545,03,2022
10,4039,0.0,0.0,0.0,03,2022
1,434,0.0,0.0,0.0,03,2024
2,748,0.0,0.0,0.0,03,2024
3,1646,0.0,0.0,0.0,03,2024
4,2202,26.0,0.011807447774750226,1.0,03,2024
5,2597,0.0,0.0,0.0,03,2024
6,3219,0.0,0.0,0.0,03,2024
7,4460,0.0,0.0,0.0,03,2024
8,3256,0.0,0.0,0.0,03,2024
9,2987,0.0,0.0,0.0,03,2024
10,4739,0.0,0.0,0.0,03,2024
1,2412,0.0,0.0,0.0,04,2020
2,3400,256.0,0.07529411764705882,0.09842368319876971,04,2020
3,3800,241.0,0.06342105263157895,0.09265667051134178,04,2020
4,2616,112.0,0.04281345565749235,0.04306036139946175,04,2020
5,3539,112.0,0.031647358010737495,0.04306036139946175,04,2020
6,4200,246.0,0.05857142857142857,0.09457900807381776,04,2020
7,3648,839.0,0.22998903508771928,0.3225682429834679,04,2020
8,3650,449.0,0.12301369863013699,0.17262591311034217,04,2020
9,2998,119.0,0.039693128752501666,0.0457516339869281,04,2020
10,2853,227.0,0.07956536978618997,0.08727412533640908,04,2020
1,3339,318.0,0.09523809523809523,0.16878980891719744,04,2022
2,3186,138.0,0.04331450094161959,0.0732484076433121,04,2022
3,4280,319.0,0.07453271028037384,0.16932059447983014,04,2022
4,3729,0.0,0.0,0.0,04,2022
5,3306,727.0,0.21990320629159105,0.3858811040339703,04,2022
6,3053,0.0,0.0,0.0,04,2022
7,3141,139.0,0.04425342247691818,0.0737791932059448,04,2022
8,2536,0.0,0.0,0.0,04,2022
9,2816,243.0,0.08629261363636363,0.12898089171974522,04,2022
10,1821,0.0,0.0,0.0,04,2022
1,2545,0.0,0.0,0.0,04,2024
2,3742,0.0,0.0,0.0,04,2024
3,3368,132.0,0.039192399049881234,0.5176470588235295,04,2024
4,4475,0.0,0.0,0.0,04,2024
5,3131,0.0,0.0,0.0,04,2024
6,2156,123.0,0.05705009276437848,0.4823529411764706,04,2024
7,3304,0.0,0.0,0.0,04,2024
8,2563,0.0,0.0,0.0,04,2024
9,1311,0.0,0.0,0.0,04,2024
10,1417,0.0,0.0,0.0,04,2024
1,6527,0.0,0.0,0.0,05,2020
2,10359,0.0,0.0,0.0,05,2020
3,13626,0.0,0.0,0.0,05,2020
4,14051,0.0,0.0,0.0,05,2020
5,19092,0.0,0.0,0.0,05,2020
6,15177,0.0,0.0,0.0,05,2020
7,17353,0.0,0.0,0.0,05,2020
