macrotema,monto_exp,pct,año
Trabajo,1853417294.79,49.76,2020
Programas sociales y becas,705147338.31,18.93,2020
Transferencias,597825299.35,16.05,2020
Negocio propio,314694721.13,8.45,2020
Percepciones financieras y de capital,227199290.33,6.1,2020
Renta de la propiedad,17016633.79,0.46,2020
Otros ingresos,9200514.03,0.25,2020
Trabajo,1293949825.32,51.83,2022
Programas sociales y becas,573274109.59,22.96,2022
Negocio propio,285004878.02,11.42,2022
Transferencias,259228105.68,10.38,2022
Percepciones financieras y de capital,78995612.31,3.16,2022
Renta de la propiedad,5344928.59,0.21,2022
Otros ingresos,858851.67,0.03,2022
Trabajo,986916639.71,53.31,2024
Programas sociales y becas,521513382.7,28.17,2024
Negocio propio,227334471.26,12.28,2024
Percepciones financieras y de capital,69371913.87,3.75,2024
Transferencias,40157107.9,2.17,2024
Renta de la propiedad,6096914.66,0.33,2024
Otros ingresos,1442.55,0.0,2024
