macrotema,monto_exp,pct,cve_ent,año
Trabajo,8518834.15,99.36,01,2020
Transferencias,54536.88,0.64,01,2020
Transferencias,14254819.02,58.16,01,2022
Percepciones financieras y de capital,9045442.38,36.91,01,2022
Trabajo,1208360.4,4.93,01,2022
Trabajo,21377212.150000002,77.94,03,2020
Transferencias,3069569.17,11.19,03,2020
Programas sociales y becas,2860462.1999999997,10.43,03,2020
Negocio propio,120988.01,0.44,03,2020
Trabajo,13142416.25,67.54,03,2022
Negocio propio,3312230.05,17.02,03,2022
Programas sociales y becas,2728992.09,14.03,03,2022
Percepciones financieras y de capital,273912.8,1.41,03,2022
Trabajo,514285.45999999996,44.69,03,2024
Programas sociales y becas,501428.45999999996,43.58,03,2024
Percepciones financieras y de capital,134999.53999999998,11.73,03,2024
Trabajo,64420163.77,47.74,04,2020
Transferencias,25628951.23,18.99,04,2020
Programas sociales y becas,17795560.95,13.19,04,2020
Percepciones financieras y de capital,14248450.64,10.56,04,2020
Negocio propio,11951185.24,8.86,04,2020
Renta de la propiedad,842281.86,0.62,04,2020
Otros ingresos,39324.98,0.03,04,2020
Trabajo,37992813.41,53.61,04,2022
Programas sociales y becas,19255739.080000002,27.17,04,2022
Negocio propio,7084801.029999999,10.0,04,2022
Percepciones financieras y de capital,3639372.43,5.14,04,2022
Renta de la propiedad,1613347.19,2.28,04,2022
Transferencias,1277727.9300000002,1.8,04,2022
Trabajo,9461674.319999998,83.43,04,2024
Negocio propio,1036246.71,9.14,04,2024
Programas sociales y becas,842281.86,7.43,04,2024
Trabajo,6753661.16,76.9,05,2022
Programas sociales y becas,2029187.02,23.1,05,2022
Trabajo,12560774.54,69.19,06,2020
Programas sociales y becas,2853327.87,15.72,06,2020
Percepciones financieras y de capital,1836689.54,10.12,06,2020
Transferencias,780182.09,4.3,06,2020
Negocio propio,124084.8,0.68,06,2020
Trabajo,12892130.23,57.67,06,2022
Programas sociales y becas,4472690.35,20.01,06,2022
Transferencias,2011031.34,9.0,06,2022
Negocio propio,1946848.76,8.71,06,2022
Percepciones financieras y de capital,1032553.4299999999,4.62,06,2022
Trabajo,20496675.310000002,90.94,06,2024
Percepciones financieras y de capital,1363277.95,6.05,06,2024
Programas sociales y becas,520108.67,2.31,06,2024
Transferencias,158016.02,0.7,06,2024
Trabajo,143463755.28,37.67,07,2020
Programas sociales y becas,125039330.53999999,32.83,07,2020
Transferencias,54145855.66,14.22,07,2020
Negocio propio,33803832.05,8.88,07,2020
Percepciones financieras y de capital,24388309.31,6.4,07,2020
Trabajo,116185425.96,42.98,07,2022
Programas sociales y becas,99201598.78999999,36.69,07,2022
Transferencias,28418547.259999998,10.51,07,2022
Negocio propio,15409790.49,5.7,07,2022
Percepciones financieras y de capital,9097818.0,3.37,07,2022
Renta de la propiedad,2039672.1,0.75,07,2022
Programas sociales y becas,10741302.12,39.94,07,2024
Trabajo,7347040.08,27.32,07,2024
Negocio propio,4547857.4399999995,16.91,07,2024
Transferencias,4260715.8,15.84,07,2024
Trabajo,17314472.689999998,34.73,08,2020
Transferencias,15328458.15,30.75,08,2020
Programas sociales y becas,8367696.260000001,16.78,08,2020
Percepciones financieras y de capital,4564864.36,9.16,08,2020
Negocio propio,4278677.78,8.58,08,2020
Programas sociales y becas,4857536.79,45.92,08,2022
Trabajo,3801084.48,35.93,08,2022
Negocio propio,759374.9,7.18,08,2022
Otros ingresos,578784.4500000001,5.47,08,2022
