macrotema,monto_exp,pct,decil,año
Trabajo,20751637.91,57.35,1,2020
Programas sociales y becas,10925840.23,30.19,1,2020
Percepciones financieras y de capital,2745430.38,7.59,1,2020
Negocio propio,935029.68,2.58,1,2020
Transferencias,828584.6399999999,2.29,1,2020
Programas sociales y becas,62142326.769999996,43.73,2,2020
Trabajo,51501761.63,36.24,2,2020
Negocio propio,14150879.67,9.96,2,2020
Percepciones financieras y de capital,10223976.81,7.19,2,2020
Transferencias,4080067.59,2.87,2,2020
Trabajo,70761420.16,42.89,3,2020
Programas sociales y becas,60710491.87,36.8,3,2020
Negocio propio,23563450.22,14.28,3,2020
Transferencias,5764618.7700000005,3.49,3,2020
Percepciones financieras y de capital,4133299.43,2.51,3,2020
Renta de la propiedad,47704.6,0.03,3,2020
Trabajo,126795986.92,52.3,4,2020
Programas sociales y becas,72584688.95,29.94,4,2020
Transferencias,23101758.439999998,9.53,4,2020
Negocio propio,11773622.23,4.86,4,2020
Percepciones financieras y de capital,5628881.28,2.32,4,2020
Otros ingresos,2537628.65,1.05,4,2020
Trabajo,161895237.05,50.8,5,2020
Programas sociales y becas,94333931.08,29.6,5,2020
Negocio propio,20409168.95,6.4,5,2020
Percepciones financieras y de capital,20236252.51,6.35,5,2020
Transferencias,20101430.82,6.31,5,2020
Renta de la propiedad,1666336.87,0.52,5,2020
Otros ingresos,54585.420000000006,0.02,5,2020
Trabajo,187085919.44,37.13,6,2020
Programas sociales y becas,135298183.74,26.85,6,2020
Negocio propio,82128793.76,16.3,6,2020
Transferencias,60000614.47,11.91,6,2020
Percepciones financieras y de capital,36035947.58,7.15,6,2020
Renta de la propiedad,3345649.2,0.66,6,2020
Trabajo,175416788.78,51.92,7,2020
Programas sociales y becas,64901072.13,19.21,7,2020
Negocio propio,56202975.37,16.64,7,2020
Transferencias,29046960.55,8.6,7,2020
Percepciones financieras y de capital,6084725.21,1.8,7,2020
Otros ingresos,5341299.6,1.58,7,2020
Renta de la propiedad,842281.86,0.25,7,2020
Trabajo,388749969.21999997,49.85,8,2020
Transferencias,209825964.42999998,26.91,8,2020
Programas sociales y becas,100788741.47,12.93,8,2020
Negocio propio,43582066.9,5.59,8,2020
Percepciones financieras y de capital,30911878.240000002,3.96,8,2020
Renta de la propiedad,4674264.140000001,0.6,8,2020
Otros ingresos,1247918.52,0.16,8,2020
Trabajo,383337236.36,65.06,9,2020
Transferencias,93703033.74,15.9,9,2020
Programas sociales y becas,73621826.15,12.49,9,2020
Percepciones financieras y de capital,22513334.88,3.82,9,2020
Negocio propio,13475274.33,2.29,9,2020
Renta de la propiedad,2582608.16,0.44,9,2020
Trabajo,287121337.32,47.12,10,2020
Transferencias,151372265.9,24.84,10,2020
Percepciones financieras y de capital,88685564.01,14.55,10,2020
Negocio propio,48473460.02,7.95,10,2020
Programas sociales y becas,29840235.92,4.9,10,2020
Renta de la propiedad,3857788.96,0.63,10,2020
Otros ingresos,19081.84,0.0,10,2020
Programas sociales y becas,8142403.73,37.32,1,2022
Percepciones financieras y de capital,5698668.73,26.12,1,2022
Trabajo,3722725.4099999997,17.06,1,2022
Transferencias,2856457.87,13.09,1,2022
Negocio propio,1395113.36,6.4,1,2022
Trabajo,36572459.32,46.35,2,2022
Programas sociales y becas,34194364.94,43.34,2,2022
Transferencias,4888263.45,6.2,2,2022
Negocio propio,2452637.74,3.11,2,2022
Renta de la propiedad,431412.66000000003,0.55,2,2022
Percepciones financieras y de capital,367287.15,0.47,2,2022
Programas sociales y becas,73427810.08,49.79,3,2022
Trabajo,39207457.29,26.59,3,2022
Transferencias,19353717.03,13.12,3,2022
Negocio propio,10583191.97,7.18,3,2022
Percepciones financieras y de capital,4882859.83,3.31,3,2022
Otros ingresos,15049.08,0.01,3,2022
Trabajo,43919718.43,34.53,4,2022
Transferencias,35909967.03,28.23,4,2022
Programas sociales y becas,34992774.730000004,27.51,4,2022
Negocio propio,9079000.35,7.14,4,2022
Percepciones financieras y de capital,3279264.53,2.58,4,2022
Otros ingresos,2939.17,0.0,4,2022
Trabajo,124604771.98,50.65,5,2022
Programas sociales y becas,91540903.83,37.21,5,2022
Transferencias,16558691.37,6.73,5,2022
Negocio propio,9691708.42,3.94,5,2022
Percepciones financieras y de capital,3603260.08,1.46,5,2022
Otros ingresos,30081.81,0.01,5,2022
Trabajo,107619593.18,35.02,6,2022
Programas sociales y becas,97675546.15,31.78,6,2022
Negocio propio,54032973.05,17.58,6,2022
Percepciones financieras y de capital,25568236.75,8.32,6,2022
Transferencias,20304693.009999998,6.61,6,2022
Renta de la propiedad,2039672.1,0.66,6,2022
Otros ingresos,88228.92,0.03,6,2022
Trabajo,253893881.95000002,64.98,7,2022
Programas sociales y becas,81491842.92999999,20.86,7,2022
Transferencias,23713238.68,6.07,7,2022
Negocio propio,23140570.46,5.92,7,2022
Percepciones financieras y de capital,6641322.98,1.7,7,2022
Renta de la propiedad,1260496.6400000001,0.32,7,2022
Otros ingresos,578784.4500000001,0.15,7,2022
Trabajo,164911905.94,68.54,8,2022
Programas sociales y becas,42154164.35,17.52,8,2022
Transferencias,16965091.310000002,7.05,8,2022
Negocio propio,15645614.4,6.5,8,2022
Percepciones financieras y de capital,946050.73,0.39,8,2022
Trabajo,271786453.05,49.02,9,2022
Negocio propio,113896202.29,20.54,9,2022
Transferencias,94752550.84,17.09,9,2022
Programas sociales y becas,69767125.25,12.58,9,2022
Percepciones financieras y de capital,2425351.77,0.44,9,2022
Renta de la propiedad,1613347.19,0.29,9,2022
Otros ingresos,143768.24,0.03,9,2022
Trabajo,247710858.77,64.81,10,2022
Negocio propio,45087865.980000004,11.8,10,2022
Programas sociales y becas,39887173.6,10.44,10,2022
Percepciones financieras y de capital,25583309.76,6.69,10,2022
Transferencias,23925435.09,6.26,10,2022
Programas sociales y becas,3660745.2499999995,56.28,1,2024
Negocio propio,1004311.5499999999,15.44,1,2024
Trabajo,961139.1399999999,14.78,1,2024
Percepciones financieras y de capital,439042.34,6.75,1,2024
Transferencias,439042.34,6.75,1,2024
Programas sociales y becas,16779352.06,79.53,2,2024
Trabajo,3915287.7600000002,18.56,2,2024
Negocio propio,402972.42000000004,1.91,2,2024
Programas sociales y becas,111529361.85000001,43.85,3,2024
Trabajo,107740904.04,42.36,3,2024
Negocio propio,17204407.9,6.76,3,2024
Transferencias,11622125.34,4.57,3,2024
Percepciones financieras y de capital,6260805.84,2.46,3,2024
Programas sociales y becas,36305893.269999996,37.41,4,2024
Negocio propio,24478005.79,25.22,4,2024
Trabajo,21693928.65,22.36,4,2024
Percepciones financieras y de capital,7187963.85,7.41,4,2024
Transferencias,6680525.33,6.88,4,2024
Renta de la propiedad,694283.2000000001,0.72,4,2024
Trabajo,78519278.56,49.12,5,2024
Programas sociales y becas,67610940.81,42.3,5,2024
Transferencias,6508326.58,4.07,5,2024
Negocio propio,5165049.17,3.23,5,2024
Renta de la propiedad,1525053.4200000002,0.95,5,2024
Percepciones financieras y de capital,520271.62,0.33,5,2024
Trabajo,153160990.94,53.03,6,2024
Programas sociales y becas,85009680.89,29.43,6,2024
Negocio propio,41206910.949999996,14.27,6,2024
Transferencias,7124058.24,2.47,6,2024
Percepciones financieras y de capital,2317143.2399999998,0.8,6,2024
Trabajo,30175223.3,47.25,7,2024
Programas sociales y becas,16688181.62,26.13,7,2024
Negocio propio,10802413.459999999,16.91,7,2024
Transferencias,3163914.81,4.95,7,2024
Percepciones financieras y de capital,2986522.7,4.68,7,2024
Renta de la propiedad,51358.3,0.08,7,2024
Otros ingresos,342.29999999999995,0.0,7,2024
Trabajo,179556073.34,60.15,8,2024
Programas sociales y becas,70189067.19,23.51,8,2024
Negocio propio,39722098.39,13.31,8,2024
Percepciones financieras y de capital,6336224.11,2.12,8,2024
Transferencias,2717207.52,0.91,8,2024
Trabajo,195520254.74,52.58,9,2024
Programas sociales y becas,71186454.47999999,19.14,9,2024
Negocio propio,62408646.71,16.78,9,2024
Percepciones financieras y de capital,39954784.60000001,10.74,9,2024
Transferencias,1451798.52,0.39,9,2024
Renta de la propiedad,1337526.3,0.36,9,2024
Otros ingresos,1100.25,0.0,9,2024
Trabajo,215673559.24,74.51,10,2024
Programas sociales y becas,42553705.28,14.7,10,2024
Negocio propio,24939654.919999998,8.62,10,2024
Percepciones financieras y de capital,3369155.5700000003,1.16,10,2024
