macrotema,monto_exp,pct,año
Trabajo,149117637908.62,72.39,2020
Transferencias,23614434376.18,11.46,2020
Negocio propio,18123614506.44,8.8,2020
Percepciones financieras y de capital,8991020905.97,4.36,2020
Programas sociales y becas,4015802969.84,1.95,2020
Renta de la propiedad,1699757525.31,0.83,2020
Otros ingresos,427316135.34,0.21,2020
Trabajo,165577883026.27,71.55,2022
Transferencias,27782774785.41,12.01,2022
Negocio propio,22430822700.13,9.69,2022
Percepciones financieras y de capital,8331348569.79,3.6,2022
Programas sociales y becas,5354284645.66,2.31,2022
Renta de la propiedad,1647747853.63,0.71,2022
Otros ingresos,294066135.09,0.13,2022
Trabajo,195230344489.53,72.91,2024
Transferencias,31369235287.37,11.71,2024
Negocio propio,24232706656.69,9.05,2024
Percepciones financieras y de capital,7307836240.94,2.73,2024
Programas sociales y becas,6979607793.87,2.61,2024
Renta de la propiedad,2148038271.21,0.8,2024
Otros ingresos,511224402.57,0.19,2024
