macrotema,monto_exp,pct,decil,año
Trabajo,2052125798.27,51.04,1,2020
Percepciones financieras y de capital,720641395.43,17.92,1,2020
Negocio propio,549269292.79,13.66,1,2020
Transferencias,432365384.93,10.75,1,2020
Programas sociales y becas,246479610.38,6.13,1,2020
Renta de la propiedad,10806579.450000001,0.27,1,2020
Otros ingresos,9090216.16,0.23,1,2020
Trabajo,4785140910.66,66.55,2,2020
Transferencias,777566728.75,10.81,2,2020
Negocio propio,762802171.47,10.61,2,2020
Percepciones financieras y de capital,438436330.16,6.1,2,2020
Programas sociales y becas,362057052.23,5.04,2,2020
Otros ingresos,49466882.71,0.69,2,2020
Renta de la propiedad,14532517.629999999,0.2,2,2020
Trabajo,7466249220.75,70.01,3,2020
Transferencias,1181811892.84,11.08,3,2020
Negocio propio,912052330.76,8.55,3,2020
Percepciones financieras y de capital,655466938.88,6.15,3,2020
Programas sociales y becas,377477234.54,3.54,3,2020
Renta de la propiedad,41525747.23,0.39,3,2020
Otros ingresos,29629014.990000002,0.28,3,2020
Trabajo,9387556991.56,72.13,4,2020
Transferencias,1374363733.42,10.56,4,2020
Negocio propio,1140048491.25,8.76,4,2020
Percepciones financieras y de capital,626562040.74,4.81,4,2020
Programas sociales y becas,413023666.15,3.17,4,2020
Renta de la propiedad,51849416.13,0.4,4,2020
Otros ingresos,20995166.11,0.16,4,2020
Trabajo,11913046576.97,71.62,5,2020
Transferencias,1918488662.25,11.53,5,2020
Negocio propio,1423537767.78,8.56,5,2020
Percepciones financieras y de capital,781740252.78,4.7,5,2020
Programas sociales y becas,489157985.32,2.94,5,2020
Renta de la propiedad,70285699.65,0.42,5,2020
Otros ingresos,37303676.190000005,0.22,5,2020
Trabajo,14961915730.5,73.97,6,2020
Transferencias,2206081768.29,10.91,6,2020
Negocio propio,1682797779.96,8.32,6,2020
Percepciones financieras y de capital,722838437.59,3.57,6,2020
Programas sociales y becas,426090026.6,2.11,6,2020
Renta de la propiedad,199014455.78,0.98,6,2020
Otros ingresos,28257586.98,0.14,6,2020
Trabajo,18019768947.22,75.94,7,2020
Transferencias,2281135392.51,9.61,7,2020
Negocio propio,2016029793.23,8.5,7,2020
Percepciones financieras y de capital,891815490.99,3.76,7,2020
Programas sociales y becas,411415386.91,1.73,7,2020
Renta de la propiedad,89871588.38,0.38,7,2020
Otros ingresos,19977177.82,0.08,7,2020
Trabajo,21234099324.48,76.0,8,2020
Transferencias,3104637366.81,11.11,8,2020
Negocio propio,2082778975.89,7.46,8,2020
Percepciones financieras y de capital,810706072.45,2.9,8,2020
Programas sociales y becas,459386598.64,1.64,8,2020
Renta de la propiedad,198429553.89,0.71,8,2020
Otros ingresos,47890993.61,0.17,8,2020
Trabajo,26665119816.67,75.11,9,2020
Transferencias,3922094686.2799997,11.05,9,2020
Negocio propio,2569451013.7,7.24,9,2020
Percepciones financieras y de capital,1453856953.31,4.1,9,2020
Programas sociales y becas,510074068.66,1.44,9,2020
Renta de la propiedad,297935126.82,0.84,9,2020
Otros ingresos,83158981.39,0.23,9,2020
Trabajo,32632614591.54,69.33,10,2020
Transferencias,6415888760.1,13.63,10,2020
Negocio propio,4984846889.61,10.59,10,2020
Percepciones financieras y de capital,1888956993.64,4.01,10,2020
Renta de la propiedad,725506840.35,1.54,10,2020
Programas sociales y becas,320641340.41,0.68,10,2020
