clave,monto_exp,pct,programa,año
P108,596801316.16,84.63,JCF,2020
P104,31594396.25,4.48,Adultos mayores,2020
P101,21520144.09,3.05,Benito Juarez basica,2020
P102,18730041.01,2.66,BJ media superior,2020
P048,16910985.94,2.4,Otros programas sociales,2020
P043,9522724.19,1.35,PROCAMPO/ProAgro,2020
P105,5565110.44,0.79,Discapacidad,2020
P103,3630889.6700000004,0.51,Jov Escribiendo,2020
P045,419775.20999999996,0.06,Otros adultos mayores,2020
P106,451955.35000000003,0.06,Madres trabajadoras,2020
P108,507773434.94,88.57,JCF,2022
P101,20732047.09,3.62,Benito Juarez basica,2022
P104,17303682.34,3.02,Adultos mayores,2022
P043,11889466.31,2.07,PROCAMPO/ProAgro,2022
P048,4646893.89,0.81,Otros programas sociales,2022
P105,4237249.95,0.74,Discapacidad,2022
P103,2981714.1599999997,0.52,Jov Escribiendo,2022
P102,2583716.61,0.45,BJ media superior,2022
P045,907557.0399999999,0.16,Otros adultos mayores,2022
P106,218347.26,0.04,Madres trabajadoras,2022
P108,473513345.53,90.8,JCF,2024
P104,29440159.42,5.65,Adultos mayores,2024
P043,7116135.12,1.36,PROCAMPO/ProAgro,2024
P105,5609539.669999999,1.08,Discapacidad,2024
P048,2351346.4099999997,0.45,Otros programas sociales,2024
P102,2212549.26,0.42,BJ media superior,2024
P101,1270307.29,0.24,Benito Juarez basica,2024
