clave,monto_exp,pct,programa,cve_ent,año
P108,2599854.1799999997,90.89,JCF,03,2020
P102,260608.02000000002,9.11,BJ media superior,03,2020
P108,2233893.3099999996,81.86,JCF,03,2022
P102,267886.08,9.82,BJ media superior,03,2022
P105,227212.7,8.33,Discapacidad,03,2022
P108,501428.45999999996,100.0,JCF,03,2024
P108,14716383.870000001,82.7,JCF,04,2020
P104,1684240.6800000002,9.46,Adultos mayores,04,2020
P101,458350.38,2.58,Benito Juarez basica,04,2020
P043,446086.56,2.51,PROCAMPO/ProAgro,04,2020
P105,303220.83,1.7,Discapacidad,04,2020
P102,187278.63,1.05,BJ media superior,04,2020
P108,16670633.57,86.57,JCF,04,2022
P043,1170977.22,6.08,PROCAMPO/ProAgro,04,2022
P101,589651.65,3.06,Benito Juarez basica,04,2022
P048,460172.35000000003,2.39,Otros programas sociales,04,2022
P105,364304.29000000004,1.89,Discapacidad,04,2022
P043,842281.86,100.0,PROCAMPO/ProAgro,04,2024
P108,2029187.02,100.0,JCF,05,2022
P108,2789936.73,97.78,JCF,06,2020
P101,63391.14000000001,2.22,Benito Juarez basica,06,2020
P108,3566187.27,79.73,JCF,06,2022
P048,339344.07,7.59,Otros programas sociales,06,2022
P104,286657.25,6.41,Adultos mayores,06,2022
P106,218347.26,4.88,Madres trabajadoras,06,2022
P043,62154.49999999999,1.39,PROCAMPO/ProAgro,06,2022
P108,520108.67,100.0,JCF,06,2024
P108,96090206.05,76.85,JCF,07,2020
P104,8380282.049999999,6.7,Adultos mayores,07,2020
P048,7324727.74,5.86,Otros programas sociales,07,2020
P043,3618289.02,2.89,PROCAMPO/ProAgro,07,2020
P101,3390302.56,2.71,Benito Juarez basica,07,2020
P102,3359144.26,2.69,BJ media superior,07,2020
P105,2876378.86,2.3,Discapacidad,07,2020
P108,85375327.76,86.06,JCF,07,2022
P101,9065010.23,9.14,Benito Juarez basica,07,2022
P043,2654583.2,2.68,PROCAMPO/ProAgro,07,2022
P104,2106677.6,2.12,Adultos mayores,07,2022
P108,10741302.12,100.0,JCF,07,2024
P108,7216301.57,86.24,JCF,08,2020
P104,904873.7300000001,10.81,Adultos mayores,08,2020
P043,246520.96,2.95,PROCAMPO/ProAgro,08,2020
P108,4857536.79,100.0,JCF,08,2022
P108,2257376.28,100.0,JCF,08,2024
P108,10628406.0,100.0,JCF,09,2020
P108,30239025.38,100.0,JCF,09,2022
P108,5964162.81,85.58,JCF,10,2020
P104,678856.2000000001,9.74,Adultos mayores,10,2020
P043,326372.64,4.68,PROCAMPO/ProAgro,10,2020
P108,17336727.69,93.82,JCF,10,2022
P101,853041.5700000001,4.62,Benito Juarez basica,10,2022
P102,287999.91,1.56,BJ media superior,10,2022
P104,2314283.4,63.02,Adultos mayores,10,2024
P108,1028570.4,28.01,JCF,10,2024
P102,329636.73,8.98,BJ media superior,10,2024
P108,9506567.09,100.0,JCF,11,2020
P108,8460314.75,89.13,JCF,11,2022
P043,542983.35,5.72,PROCAMPO/ProAgro,11,2022
P101,488683.64999999997,5.15,Benito Juarez basica,11,2022
P108,6199985.43,100.0,JCF,11,2024
P108,72763020.53,78.46,JCF,12,2020
P101,7512631.19,8.1,Benito Juarez basica,12,2020
P102,4265928.78,4.6,BJ media superior,12,2020
P104,2259191.88,2.44,Adultos mayores,12,2020
P043,2116519.13,2.28,PROCAMPO/ProAgro,12,2020
P103,1690432.8,1.82,Jov Escribiendo,12,2020
P048,902947.86,0.97,Otros programas sociales,12,2020
P105,778398.39,0.84,Discapacidad,12,2020
P106,451955.35000000003,0.49,Madres trabajadoras,12,2020
P108,37706505.42,84.09,JCF,12,2022
P043,4055080.2600000002,9.04,PROCAMPO/ProAgro,12,2022
P104,1553598.75,3.46,Adultos mayores,12,2022
P105,1089536.25,2.43,Discapacidad,12,2022
P101,438504.0,0.98,Benito Juarez basica,12,2022
P108,57536433.92,100.0,JCF,12,2024
P108,13837778.08,62.85,JCF,13,2020
P104,3629264.64,16.48,Adultos mayores,13,2020
P102,2120084.47,9.63,BJ media superior,13,2020
P105,1340194.44,6.09,Discapacidad,13,2020
P101,554084.34,2.52,Benito Juarez basica,13,2020
P043,536766.66,2.44,PROCAMPO/ProAgro,13,2020
