clave,monto_exp,pct,programa,decil,año
P108,10320103.96,94.46,JCF,1,2020
P102,488345.52,4.47,BJ media superior,1,2020
P101,117390.75,1.07,Benito Juarez basica,1,2020
P108,55882552.41,89.93,JCF,2,2020
P102,2268885.75,3.65,BJ media superior,2,2020
P043,1877385.51,3.02,PROCAMPO/ProAgro,2,2020
P101,1300669.96,2.09,Benito Juarez basica,2,2020
P104,747780.1799999999,1.2,Adultos mayores,2,2020
P048,65052.96,0.1,Otros programas sociales,2,2020
P108,57970634.8,95.49,JCF,3,2020
P048,1458883.76,2.4,Otros programas sociales,3,2020
P101,782605.0,1.29,Benito Juarez basica,3,2020
P105,303220.83,0.5,Discapacidad,3,2020
P043,195147.48,0.32,PROCAMPO/ProAgro,3,2020
P108,52368234.9,72.15,JCF,4,2020
P048,7324727.74,10.09,Otros programas sociales,4,2020
P104,4341948.449999999,5.98,Adultos mayores,4,2020
P102,2274454.5,3.13,BJ media superior,4,2020
P105,2256752.28,3.11,Discapacidad,4,2020
P043,2055665.47,2.83,PROCAMPO/ProAgro,4,2020
P101,1962905.61,2.7,Benito Juarez basica,4,2020
P108,77276762.17,81.92,JCF,5,2020
P101,5232622.38,5.55,Benito Juarez basica,5,2020
P104,4178004.8000000003,4.43,Adultos mayores,5,2020
P102,3798655.06,4.03,BJ media superior,5,2020
P048,1747965.5,1.85,Otros programas sociales,5,2020
P103,1213376.6700000002,1.29,Jov Escribiendo,5,2020
P105,886544.5,0.94,Discapacidad,5,2020
P108,110184861.94,81.44,JCF,6,2020
P104,11632745.95,8.6,Adultos mayores,6,2020
P101,8490663.27,6.28,Benito Juarez basica,6,2020
P102,2857998.31,2.11,BJ media superior,6,2020
P105,1340194.44,0.99,Discapacidad,6,2020
P043,791719.8300000001,0.59,PROCAMPO/ProAgro,6,2020
P108,49945352.35,76.96,JCF,7,2020
P043,4000197.74,6.16,PROCAMPO/ProAgro,7,2020
P104,3767254.7,5.8,Adultos mayores,7,2020
P101,2375884.33,3.66,Benito Juarez basica,7,2020
P102,1839571.7000000002,2.83,BJ media superior,7,2020
P048,1742457.5699999998,2.68,Otros programas sociales,7,2020
P105,778398.39,1.2,Discapacidad,7,2020
P106,451955.35000000003,0.7,Madres trabajadoras,7,2020
P108,87920785.85,87.23,JCF,8,2020
P104,4801370.34,4.76,Adultos mayores,8,2020
P048,3588734.05,3.56,Otros programas sociales,8,2020
P102,3220448.44,3.2,BJ media superior,8,2020
P101,1257402.79,1.25,Benito Juarez basica,8,2020
P108,66969503.29,90.96,JCF,9,2020
P104,2125291.83,2.89,Adultos mayores,9,2020
P102,1794403.0999999999,2.44,BJ media superior,9,2020
P048,983164.36,1.34,Otros programas sociales,9,2020
P103,727080.2000000001,0.99,Jov Escribiendo,9,2020
P043,602608.1599999999,0.82,PROCAMPO/ProAgro,9,2020
P045,419775.20999999996,0.57,Otros adultos mayores,9,2020
P108,27962524.490000002,93.71,JCF,10,2020
P103,1690432.8,5.66,Jov Escribiendo,10,2020
P102,187278.63,0.63,BJ media superior,10,2020
P108,7167455.28,88.03,JCF,1,2022
P101,974948.4500000001,11.97,Benito Juarez basica,1,2022
P108,32594328.509999998,95.32,JCF,2,2022
P101,1600036.43,4.68,Benito Juarez basica,2,2022
P108,63670904.18,86.71,JCF,3,2022
P104,3839747.2199999997,5.23,Adultos mayores,3,2022
P043,2947620.2600000002,4.01,PROCAMPO/ProAgro,3,2022
P048,1275968.1099999999,1.74,Otros programas sociales,3,2022
P101,879096.26,1.2,Benito Juarez basica,3,2022
P105,814474.05,1.11,Discapacidad,3,2022
P108,29690505.09,84.85,JCF,4,2022
P101,2771634.69,7.92,Benito Juarez basica,4,2022
P043,1294801.8,3.7,PROCAMPO/ProAgro,4,2022
P102,1235833.15,3.53,BJ media superior,4,2022
P108,81393184.77,88.91,JCF,5,2022
P101,2680645.97,2.93,Benito Juarez basica,5,2022
P104,2655580.83,2.9,Adultos mayores,5,2022
P043,2426133.85,2.65,PROCAMPO/ProAgro,5,2022
P105,1954729.21,2.14,Discapacidad,5,2022
P048,430629.2,0.47,Otros programas sociales,5,2022
P108,81864993.03,83.81,JCF,6,2022
P101,7083577.609999999,7.25,Benito Juarez basica,6,2022
P104,4077071.5999999996,4.17,Adultos mayores,6,2022
P043,1639171.98,1.68,PROCAMPO/ProAgro,6,2022
P048,1161148.55,1.19,Otros programas sociales,6,2022
P105,876529.7,0.9,Discapacidad,6,2022
P102,776346.64,0.79,BJ media superior,6,2022
P103,196707.03999999998,0.2,Jov Escribiendo,6,2022
P108,76218186.85,93.53,JCF,7,2022
P104,2302187.38,2.83,Adultos mayores,7,2022
P101,1836698.96,2.25,Benito Juarez basica,7,2022
P045,907557.0399999999,1.11,Otros adultos mayores,7,2022
P105,227212.7,0.28,Discapacidad,7,2022
P108,37033656.95,87.85,JCF,8,2022
P043,2410761.2,5.72,PROCAMPO/ProAgro,8,2022
P048,1439803.9600000002,3.42,Otros programas sociales,8,2022
P102,571536.8200000001,1.36,BJ media superior,8,2022
P104,555189.62,1.32,Adultos mayores,8,2022
P101,143215.80000000002,0.34,Benito Juarez basica,8,2022
P108,60118099.68,86.17,JCF,9,2022
P104,3873905.6900000004,5.55,Adultos mayores,9,2022
P103,2785007.1199999996,3.99,Jov Escribiendo,9,2022
P043,1170977.22,1.68,PROCAMPO/ProAgro,9,2022
P101,897139.92,1.29,Benito Juarez basica,9,2022
P105,364304.29000000004,0.52,Discapacidad,9,2022
