clave,monto_exp,pct,programa,decil,cve_ent,año
P108,280516.21,100.0,JCF,3,03,2020
P108,125655.62999999999,100.0,JCF,4,03,2020
P108,416249.39999999997,100.0,JCF,5,03,2020
P108,358336.77,100.0,JCF,6,03,2020
P108,456064.58999999997,63.64,JCF,7,03,2020
P102,260608.02000000002,36.36,BJ media superior,7,03,2020
P108,963031.58,100.0,JCF,10,03,2020
P108,869576.95,79.28,JCF,7,03,2022
P105,227212.7,20.72,Discapacidad,7,03,2022
P102,267886.08,100.0,BJ media superior,8,03,2022
P108,1364316.3599999999,100.0,JCF,9,03,2022
P108,501428.45999999996,100.0,JCF,4,03,2024
P108,433342.9,54.73,JCF,2,04,2020
P101,358416.62,45.27,Benito Juarez basica,2,04,2020
P108,415564.14,57.81,JCF,3,04,2020
P105,303220.83,42.19,Discapacidad,3,04,2020
P108,986086.0800000001,100.0,JCF,4,04,2020
P108,1189770.4000000001,100.0,JCF,5,04,2020
P108,2112489.46,100.0,JCF,6,04,2020
P108,6801902.4,79.33,JCF,7,04,2020
P104,1226738.04,14.31,Adultos mayores,7,04,2020
P043,446086.56,5.2,PROCAMPO/ProAgro,7,04,2020
P101,99933.76,1.17,Benito Juarez basica,7,04,2020
P108,1151362.2,100.0,JCF,8,04,2020
P104,457502.64,100.0,Adultos mayores,9,04,2020
P108,1625866.29,89.67,JCF,10,04,2020
P102,187278.63,10.33,BJ media superior,10,04,2020
P108,2099836.68,100.0,JCF,1,04,2022
P108,2105998.68,100.0,JCF,2,04,2022
P108,2834510.03,86.99,JCF,3,04,2022
P101,394275.56000000006,12.1,Benito Juarez basica,3,04,2022
P048,29543.15,0.91,Otros programas sociales,3,04,2022
P108,4720986.45,91.64,JCF,5,04,2022
P048,430629.2,8.36,Otros programas sociales,5,04,2022
P108,2141656.4,100.0,JCF,7,04,2022
P108,2767645.33,61.53,JCF,9,04,2022
P043,1170977.22,26.03,PROCAMPO/ProAgro,9,04,2022
P105,364304.29000000004,8.1,Discapacidad,9,04,2022
P101,195376.09,4.34,Benito Juarez basica,9,04,2022
P043,842281.86,100.0,PROCAMPO/ProAgro,6,04,2024
P108,2029187.02,100.0,JCF,5,05,2022
P108,335015.47,100.0,JCF,4,06,2020
P108,296988.12,82.41,JCF,6,06,2020
P101,63391.14000000001,17.59,Benito Juarez basica,6,06,2020
