cve_ent,categoria,sexo,edad,personas,año
01,Ninguna,FEMENINO,23,223,2020
03,Ninguna,FEMENINO,19,35,2020
03,Ninguna,FEMENINO,20,111,2020
03,Ninguna,FEMENINO,26,73,2020
03,Ninguna,MASCULINO,19,33,2020
03,Solo trabaja,FEMENINO,23,115,2020
03,Solo trabaja,MASCULINO,20,77,2020
03,Solo trabaja,MASCULINO,27,31,2020
04,Estudia y trabaja,FEMENINO,26,122,2020
04,Ninguna,FEMENINO,20,121,2020
04,Ninguna,FEMENINO,21,132,2020
04,Ninguna,FEMENINO,22,309,2020
04,Ninguna,FEMENINO,23,125,2020
04,Ninguna,FEMENINO,25,363,2020
04,Ninguna,FEMENINO,27,230,2020
04,Ninguna,FEMENINO,29,117,2020
04,Ninguna,MASCULINO,24,115,2020
04,Ninguna,MASCULINO,28,119,2020
04,Solo trabaja,FEMENINO,21,119,2020
04,Solo trabaja,FEMENINO,22,151,2020
04,Solo trabaja,FEMENINO,23,123,2020
04,Solo trabaja,FEMENINO,30,127,2020
04,Solo trabaja,MASCULINO,23,92,2020
04,Solo trabaja,MASCULINO,24,114,2020
04,Solo trabaja,MASCULINO,27,123,2020
04,Solo trabaja,MASCULINO,28,91,2020
06,Estudia y trabaja,FEMENINO,20,98,2020
06,Ninguna,FEMENINO,21,16,2020
06,Ninguna,MASCULINO,18,131,2020
06,Ninguna,MASCULINO,26,154,2020
07,Ninguna,FEMENINO,19,711,2020
07,Ninguna,FEMENINO,20,1321,2020
07,Ninguna,FEMENINO,22,725,2020
07,Ninguna,FEMENINO,23,1240,2020
07,Ninguna,FEMENINO,25,599,2020
07,Ninguna,FEMENINO,27,1755,2020
07,Ninguna,MASCULINO,20,597,2020
07,Ninguna,MASCULINO,21,813,2020
07,Ninguna,MASCULINO,23,702,2020
07,Solo trabaja,FEMENINO,21,775,2020
07,Solo trabaja,FEMENINO,23,1144,2020
07,Solo trabaja,FEMENINO,28,813,2020
07,Solo trabaja,MASCULINO,20,2577,2020
07,Solo trabaja,MASCULINO,23,813,2020
07,Solo trabaja,MASCULINO,24,725,2020
07,Solo trabaja,MASCULINO,25,644,2020
07,Solo trabaja,MASCULINO,26,748,2020
07,Solo trabaja,MASCULINO,28,796,2020
08,Ninguna,FEMENINO,23,110,2020
08,Ninguna,FEMENINO,24,112,2020
08,Ninguna,MASCULINO,21,335,2020
08,Solo estudia,MASCULINO,20,263,2020
08,Solo trabaja,MASCULINO,28,86,2020
08,Solo trabaja,MASCULINO,30,104,2020
09,Ninguna,FEMENINO,27,1364,2020
09,Ninguna,FEMENINO,28,1160,2020
09,Solo trabaja,MASCULINO,24,1364,2020
10,Ninguna,FEMENINO,20,132,2020
10,Ninguna,FEMENINO,28,132,2020
10,Solo trabaja,FEMENINO,28,215,2020
10,Solo trabaja,MASCULINO,22,252,2020
11,Ninguna,FEMENINO,22,289,2020
11,Ninguna,FEMENINO,24,611,2020
12,Ninguna,FEMENINO,19,1307,2020
12,Ninguna,FEMENINO,20,385,2020
12,Ninguna,FEMENINO,22,233,2020
12,Ninguna,FEMENINO,23,1943,2020
12,Ninguna,FEMENINO,24,306,2020
12,Ninguna,FEMENINO,26,912,2020
12,Ninguna,FEMENINO,27,496,2020
12,Ninguna,FEMENINO,28,534,2020
12,Ninguna,MASCULINO,22,294,2020
12,Ninguna,MASCULINO,24,312,2020
12,Solo trabaja,FEMENINO,22,310,2020
12,Solo trabaja,FEMENINO,24,738,2020
12,Solo trabaja,MASCULINO,20,496,2020
12,Solo trabaja,MASCULINO,22,309,2020
12,Solo trabaja,MASCULINO,24,385,2020
12,Solo trabaja,MASCULINO,25,309,2020
12,Solo trabaja,MASCULINO,27,549,2020
13,Ninguna,FEMENINO,20,354,2020
13,Ninguna,MASCULINO,24,301,2020
13,Ninguna,MASCULINO,29,394,2020
13,Solo trabaja,FEMENINO,19,354,2020
13,Solo trabaja,MASCULINO,24,332,2020
13,Solo trabaja,MASCULINO,28,655,2020
15,Estudia y trabaja,FEMENINO,22,262,2020
15,Ninguna,FEMENINO,18,1546,2020
15,Solo estudia,MASCULINO,24,397,2020
15,Solo trabaja,MASCULINO,21,1595,2020
15,Solo trabaja,MASCULINO,23,1607,2020
16,Ninguna,FEMENINO,23,741,2020
16,Ninguna,FEMENINO,24,650,2020
16,Ninguna,FEMENINO,25,465,2020
16,Solo trabaja,FEMENINO,23,585,2020
16,Solo trabaja,MASCULINO,20,639,2020
16,Solo trabaja,MASCULINO,26,741,2020
16,Solo trabaja,MASCULINO,28,741,2020
17,Ninguna,FEMENINO,19,75,2020
17,Ninguna,FEMENINO,20,275,2020
17,Ninguna,FEMENINO,21,339,2020
17,Ninguna,FEMENINO,24,75,2020
17,Ninguna,FEMENINO,27,140,2020
17,Ninguna,FEMENINO,29,83,2020
17,Solo trabaja,FEMENINO,20,140,2020
17,Solo trabaja,FEMENINO,23,75,2020
17,Solo trabaja,FEMENINO,27,140,2020
17,Solo trabaja,MASCULINO,25,446,2020
18,Ninguna,FEMENINO,19,371,2020
18,Ninguna,FEMENINO,20,178,2020
18,Ninguna,FEMENINO,23,186,2020
18,Ninguna,FEMENINO,25,140,2020
18,Ninguna,FEMENINO,27,164,2020
18,Ninguna,MASCULINO,24,185,2020
18,Ninguna,MASCULINO,26,180,2020
18,Solo estudia,FEMENINO,16,160,2020
18,Solo estudia,MASCULINO,21,180,2020
18,Solo trabaja,MASCULINO,17,193,2020
18,Solo trabaja,MASCULINO,28,178,2020
19,Ninguna,FEMENINO,18,760,2020
19,Ninguna,FEMENINO,20,51,2020
19,Ninguna,FEMENINO,23,135,2020
19,Ninguna,MASCULINO,29,586,2020
19,Solo trabaja,FEMENINO,23,51,2020
19,Solo trabaja,MASCULINO,26,54,2020
20,Estudia y trabaja,FEMENINO,20,338,2020
20,Estudia y trabaja,FEMENINO,22,422,2020
20,Ninguna,FEMENINO,20,728,2020
20,Ninguna,FEMENINO,28,376,2020
20,Ninguna,FEMENINO,29,728,2020
20,Ninguna,MASCULINO,20,546,2020
20,Ninguna,MASCULINO,25,467,2020
20,Solo estudia,MASCULINO,21,499,2020
20,Solo trabaja,FEMENINO,20,467,2020
20,Solo trabaja,FEMENINO,26,295,2020
20,Solo trabaja,FEMENINO,29,588,2020
21,Ninguna,FEMENINO,29,381,2020
22,Ninguna,FEMENINO,20,220,2020
22,Ninguna,FEMENINO,24,114,2020
22,Ninguna,FEMENINO,29,199,2020
22,Solo trabaja,MASCULINO,19,90,2020
22,Solo trabaja,MASCULINO,23,67,2020
23,Ninguna,FEMENINO,19,260,2020
23,Ninguna,FEMENINO,20,226,2020
23,Ninguna,FEMENINO,23,133,2020
23,Ninguna,FEMENINO,24,124,2020
23,Ninguna,FEMENINO,25,230,2020
23,Ninguna,FEMENINO,28,115,2020
23,Ninguna,MASCULINO,18,266,2020
23,Ninguna,MASCULINO,22,346,2020
23,Ninguna,MASCULINO,24,212,2020
23,Solo trabaja,FEMENINO,21,124,2020
23,Solo trabaja,FEMENINO,28,115,2020
23,Solo trabaja,MASCULINO,22,231,2020
23,Solo trabaja,MASCULINO,24,452,2020
23,Solo trabaja,MASCULINO,27,115,2020
23,Solo trabaja,MASCULINO,28,243,2020
23,Solo trabaja,MASCULINO,29,124,2020
24,Ninguna,FEMENINO,23,219,2020
24,Ninguna,MASCULINO,23,285,2020
24,Solo trabaja,MASCULINO,24,479,2020
25,Ninguna,FEMENINO,18,355,2020
25,Ninguna,FEMENINO,24,518,2020
25,Ninguna,FEMENINO,26,205,2020
26,Estudia y trabaja,FEMENINO,18,412,2020
27,Estudia y trabaja,MASCULINO,23,361,2020
27,Ninguna,FEMENINO,19,1152,2020
27,Ninguna,FEMENINO,20,321,2020
27,Ninguna,FEMENINO,21,659,2020
27,Ninguna,FEMENINO,22,1310,2020
27,Ninguna,FEMENINO,23,652,2020
27,Ninguna,FEMENINO,25,563,2020
27,Ninguna,FEMENINO,26,560,2020
27,Ninguna,FEMENINO,27,616,2020
27,Ninguna,FEMENINO,28,754,2020
27,Ninguna,FEMENINO,29,570,2020
27,Ninguna,MASCULINO,21,615,2020
27,Ninguna,MASCULINO,25,611,2020
27,Ninguna,MASCULINO,27,257,2020
27,Solo estudia,FEMENINO,18,308,2020
27,Solo estudia,FEMENINO,20,388,2020
27,Solo estudia,MASCULINO,21,302,2020
27,Solo trabaja,FEMENINO,20,321,2020
27,Solo trabaja,FEMENINO,21,353,2020
27,Solo trabaja,FEMENINO,28,339,2020
27,Solo trabaja,MASCULINO,19,339,2020
27,Solo trabaja,MASCULINO,23,243,2020
27,Solo trabaja,MASCULINO,26,1324,2020
27,Solo trabaja,MASCULINO,27,358,2020
27,Solo trabaja,MASCULINO,28,357,2020
27,Solo trabaja,MASCULINO,30,347,2020
28,Ninguna,FEMENINO,21,358,2020
28,Ninguna,FEMENINO,22,766,2020
28,Ninguna,FEMENINO,23,462,2020
28,Ninguna,FEMENINO,25,206,2020
28,Ninguna,FEMENINO,27,379,2020
28,Ninguna,FEMENINO,28,523,2020
28,Ninguna,MASCULINO,20,230,2020
28,Solo trabaja,FEMENINO,20,379,2020
28,Solo trabaja,FEMENINO,26,510,2020
28,Solo trabaja,MASCULINO,29,206,2020
29,Ninguna,FEMENINO,19,123,2020
29,Ninguna,FEMENINO,22,188,2020
29,Ninguna,FEMENINO,28,145,2020
29,Ninguna,FEMENINO,29,145,2020
29,Ninguna,MASCULINO,22,154,2020
29,Ninguna,MASCULINO,24,186,2020
29,Solo trabaja,MASCULINO,24,132,2020
30,Estudia y trabaja,FEMENINO,22,694,2020
