edad,sexo,cve_ent,decil,personas,año
23,FEMENINO,01,8,223,2020
20,FEMENINO,03,7,111,2020
23,FEMENINO,03,5,115,2020
20,MASCULINO,03,10,77,2020
26,FEMENINO,03,4,73,2020
27,MASCULINO,03,3,31,2020
19,MASCULINO,03,6,33,2020
19,FEMENINO,03,10,35,2020
25,FEMENINO,04,10,108,2020
21,FEMENINO,04,9,119,2020
29,FEMENINO,04,7,117,2020
22,FEMENINO,04,8,92,2020
23,MASCULINO,04,8,92,2020
20,FEMENINO,04,6,121,2020
26,FEMENINO,04,7,122,2020
28,MASCULINO,04,10,119,2020
23,FEMENINO,04,6,125,2020
25,FEMENINO,04,8,134,2020
21,FEMENINO,04,8,132,2020
22,FEMENINO,04,2,105,2020
25,FEMENINO,04,7,121,2020
27,FEMENINO,04,4,112,2020
28,MASCULINO,04,8,91,2020
24,MASCULINO,04,7,115,2020
27,MASCULINO,04,3,123,2020
27,FEMENINO,04,3,118,2020
30,FEMENINO,04,7,127,2020
22,FEMENINO,04,2,151,2020
23,FEMENINO,04,7,123,2020
24,MASCULINO,04,7,114,2020
22,FEMENINO,04,5,112,2020
26,MASCULINO,06,7,100,2020
20,FEMENINO,06,9,98,2020
18,MASCULINO,06,4,131,2020
26,MASCULINO,06,6,54,2020
21,FEMENINO,06,7,16,2020
20,MASCULINO,07,6,597,2020
20,FEMENINO,07,7,779,2020
23,MASCULINO,07,1,702,2020
23,FEMENINO,07,3,566,2020
28,MASCULINO,07,1,796,2020
25,FEMENINO,07,4,599,2020
20,MASCULINO,07,4,599,2020
23,FEMENINO,07,4,578,2020
19,FEMENINO,07,4,711,2020
27,FEMENINO,07,2,565,2020
21,FEMENINO,07,4,775,2020
27,FEMENINO,07,2,549,2020
20,MASCULINO,07,2,549,2020
20,FEMENINO,07,4,542,2020
24,MASCULINO,07,5,725,2020
22,FEMENINO,07,5,725,2020
27,FEMENINO,07,6,641,2020
23,MASCULINO,07,4,813,2020
21,MASCULINO,07,2,813,2020
20,MASCULINO,07,5,813,2020
28,FEMENINO,07,5,813,2020
26,MASCULINO,07,5,748,2020
20,MASCULINO,07,2,616,2020
23,FEMENINO,07,4,596,2020
25,MASCULINO,07,2,644,2020
23,FEMENINO,07,2,644,2020
21,MASCULINO,08,9,335,2020
20,MASCULINO,08,7,263,2020
30,MASCULINO,08,3,104,2020
28,MASCULINO,08,6,86,2020
23,FEMENINO,08,6,110,2020
24,FEMENINO,08,4,112,2020
28,FEMENINO,09,8,1160,2020
27,FEMENINO,09,9,1364,2020
24,MASCULINO,09,8,1364,2020
28,FEMENINO,10,7,215,2020
22,MASCULINO,10,8,252,2020
20,FEMENINO,10,1,132,2020
28,FEMENINO,10,6,132,2020
24,FEMENINO,11,10,611,2020
22,FEMENINO,11,9,289,2020
24,FEMENINO,12,8,738,2020
23,FEMENINO,12,3,588,2020
19,FEMENINO,12,5,223,2020
24,FEMENINO,12,10,306,2020
26,FEMENINO,12,9,306,2020
23,FEMENINO,12,3,385,2020
19,FEMENINO,12,5,496,2020
27,FEMENINO,12,7,496,2020
20,MASCULINO,12,3,496,2020
23,FEMENINO,12,8,491,2020
23,FEMENINO,12,3,479,2020
28,FEMENINO,12,10,240,2020
27,MASCULINO,12,4,240,2020
22,MASCULINO,12,2,294,2020
28,FEMENINO,12,2,294,2020
19,FEMENINO,12,2,263,2020
25,MASCULINO,12,3,309,2020
19,FEMENINO,12,6,325,2020
20,FEMENINO,12,2,385,2020
24,MASCULINO,12,7,385,2020
26,FEMENINO,12,7,309,2020
27,MASCULINO,12,7,309,2020
22,MASCULINO,12,5,309,2020
22,FEMENINO,12,6,310,2020
26,FEMENINO,12,7,297,2020
22,FEMENINO,12,6,233,2020
24,MASCULINO,12,1,312,2020
24,MASCULINO,13,5,301,2020
28,MASCULINO,13,5,301,2020
29,MASCULINO,13,3,394,2020
24,MASCULINO,13,4,332,2020
19,FEMENINO,13,6,354,2020
28,MASCULINO,13,7,354,2020
20,FEMENINO,13,7,354,2020
23,MASCULINO,15,6,1607,2020
21,MASCULINO,15,8,1595,2020
18,FEMENINO,15,8,1546,2020
24,MASCULINO,15,6,397,2020
22,FEMENINO,15,10,262,2020
20,MASCULINO,16,6,639,2020
24,FEMENINO,16,2,650,2020
23,FEMENINO,16,6,585,2020
28,MASCULINO,16,9,741,2020
26,MASCULINO,16,9,741,2020
23,FEMENINO,16,9,741,2020
25,FEMENINO,16,9,465,2020
25,MASCULINO,17,9,371,2020
21,FEMENINO,17,4,264,2020
20,FEMENINO,17,5,275,2020
29,FEMENINO,17,3,83,2020
25,MASCULINO,17,1,75,2020
24,FEMENINO,17,1,75,2020
23,FEMENINO,17,5,75,2020
21,FEMENINO,17,5,75,2020
19,FEMENINO,17,1,75,2020
27,FEMENINO,17,5,140,2020
27,FEMENINO,17,8,140,2020
20,FEMENINO,17,8,140,2020
19,FEMENINO,18,8,201,2020
23,FEMENINO,18,10,186,2020
19,FEMENINO,18,7,170,2020
28,MASCULINO,18,2,178,2020
20,FEMENINO,18,2,178,2020
16,FEMENINO,18,6,160,2020
17,MASCULINO,18,8,193,2020
27,FEMENINO,18,6,164,2020
25,FEMENINO,18,8,140,2020
