edad,sexo,cve_ent,decil,personas,año
20,MASCULINO,01,7,168,2020
25,MASCULINO,01,4,211,2020
27,MASCULINO,01,2,201,2020
19,FEMENINO,01,2,160,2020
20,MASCULINO,01,5,180,2020
19,MASCULINO,01,8,195,2020
22,FEMENINO,01,7,180,2020
25,FEMENINO,01,1,180,2020
23,FEMENINO,01,7,172,2020
20,MASCULINO,01,6,172,2020
18,MASCULINO,01,7,195,2020
27,MASCULINO,01,4,189,2020
29,MASCULINO,01,6,166,2020
27,MASCULINO,01,10,242,2020
25,FEMENINO,01,8,213,2020
26,FEMENINO,01,6,205,2020
22,FEMENINO,01,8,205,2020
21,FEMENINO,01,3,181,2020
18,FEMENINO,01,9,234,2020
18,MASCULINO,01,7,192,2020
18,FEMENINO,01,6,192,2020
26,FEMENINO,01,5,180,2020
20,MASCULINO,01,8,190,2020
18,MASCULINO,01,8,190,2020
29,FEMENINO,01,4,190,2020
22,MASCULINO,01,6,190,2020
18,FEMENINO,01,8,180,2020
23,FEMENINO,01,4,180,2020
23,MASCULINO,01,9,190,2020
19,FEMENINO,01,9,190,2020
20,FEMENINO,01,8,195,2020
26,FEMENINO,01,9,199,2020
19,FEMENINO,01,7,187,2020
22,FEMENINO,01,2,225,2020
24,FEMENINO,01,10,195,2020
21,MASCULINO,01,3,195,2020
18,MASCULINO,01,3,195,2020
21,FEMENINO,01,10,211,2020
29,FEMENINO,01,5,194,2020
28,FEMENINO,01,9,194,2020
28,MASCULINO,01,9,198,2020
28,FEMENINO,01,4,205,2020
26,MASCULINO,01,5,201,2020
25,MASCULINO,01,6,223,2020
27,FEMENINO,01,5,183,2020
27,FEMENINO,01,3,196,2020
27,MASCULINO,01,4,196,2020
18,FEMENINO,01,3,195,2020
21,FEMENINO,01,3,189,2020
25,MASCULINO,01,7,187,2020
25,FEMENINO,01,9,187,2020
20,FEMENINO,01,7,181,2020
27,FEMENINO,01,7,181,2020
18,MASCULINO,01,6,205,2020
25,FEMENINO,01,10,180,2020
22,FEMENINO,01,3,191,2020
18,FEMENINO,01,3,191,2020
20,MASCULINO,01,5,259,2020
25,FEMENINO,01,5,259,2020
26,MASCULINO,01,7,259,2020
25,FEMENINO,01,4,181,2020
24,FEMENINO,01,4,195,2020
18,MASCULINO,01,10,195,2020
19,FEMENINO,01,9,196,2020
22,FEMENINO,01,9,195,2020
18,MASCULINO,01,9,195,2020
25,FEMENINO,01,10,207,2020
25,MASCULINO,01,10,207,2020
26,FEMENINO,01,9,170,2020
25,FEMENINO,01,1,170,2020
18,MASCULINO,01,8,180,2020
29,FEMENINO,01,6,188,2020
21,FEMENINO,01,4,188,2020
28,FEMENINO,01,10,194,2020
22,MASCULINO,01,5,179,2020
18,MASCULINO,01,4,179,2020
23,FEMENINO,01,4,181,2020
25,MASCULINO,01,10,209,2020
18,MASCULINO,01,10,233,2020
23,FEMENINO,01,10,225,2020
21,MASCULINO,01,9,197,2020
18,FEMENINO,01,9,197,2020
20,MASCULINO,01,9,202,2020
28,FEMENINO,01,5,283,2020
21,FEMENINO,01,8,283,2020
29,FEMENINO,01,4,283,2020
27,MASCULINO,01,5,185,2020
21,FEMENINO,01,7,172,2020
27,FEMENINO,01,4,197,2020
28,FEMENINO,01,4,197,2020
18,FEMENINO,01,7,236,2020
25,FEMENINO,01,5,185,2020
25,FEMENINO,01,9,203,2020
28,MASCULINO,01,3,185,2020
24,FEMENINO,01,6,185,2020
21,FEMENINO,01,3,207,2020
19,MASCULINO,01,8,207,2020
25,MASCULINO,01,5,175,2020
24,FEMENINO,01,6,194,2020
22,MASCULINO,01,2,200,2020
20,MASCULINO,01,2,200,2020
24,FEMENINO,01,6,200,2020
24,FEMENINO,01,6,186,2020
23,FEMENINO,01,5,198,2020
27,FEMENINO,01,9,198,2020
22,FEMENINO,01,9,198,2020
26,MASCULINO,01,2,202,2020
26,FEMENINO,01,4,202,2020
21,MASCULINO,01,2,254,2020
27,FEMENINO,01,3,191,2020
23,MASCULINO,01,9,191,2020
20,MASCULINO,01,7,208,2020
18,FEMENINO,01,4,190,2020
24,FEMENINO,01,4,190,2020
23,FEMENINO,01,8,223,2020
26,MASCULINO,01,8,223,2020
25,MASCULINO,01,7,175,2020
29,FEMENINO,01,5,175,2020
24,FEMENINO,01,8,207,2020
23,FEMENINO,01,5,207,2020
26,FEMENINO,01,7,207,2020
23,FEMENINO,01,7,207,2020
26,FEMENINO,01,2,191,2020
29,FEMENINO,01,8,203,2020
24,FEMENINO,01,8,237,2020
25,FEMENINO,01,5,209,2020
20,FEMENINO,01,1,209,2020
20,FEMENINO,01,9,209,2020
20,FEMENINO,01,9,209,2020
24,FEMENINO,01,7,212,2020
28,FEMENINO,01,3,242,2020
18,MASCULINO,01,4,228,2020
23,FEMENINO,01,7,216,2020
23,FEMENINO,01,3,209,2020
26,FEMENINO,01,6,188,2020
28,FEMENINO,01,5,230,2020
25,MASCULINO,01,5,230,2020
18,FEMENINO,01,6,222,2020
18,FEMENINO,01,7,222,2020
24,MASCULINO,01,7,228,2020
28,FEMENINO,01,5,215,2020
22,MASCULINO,01,8,208,2020
24,FEMENINO,01,8,193,2020
19,MASCULINO,01,4,190,2020
22,FEMENINO,01,9,206,2020
27,FEMENINO,01,10,206,2020
24,MASCULINO,01,6,236,2020
22,FEMENINO,01,5,209,2020
26,MASCULINO,01,8,246,2020
20,MASCULINO,01,3,195,2020
20,FEMENINO,01,3,195,2020
18,FEMENINO,01,3,195,2020
