macrotema,monto_exp,pct,año
Trabajo,2133537251.17,50.44,2020
Programas sociales y becas,871654487.45,20.61,2020
Transferencias,615524765.29,14.55,2020
Negocio propio,334305127.0,7.9,2020
Percepciones financieras y de capital,248915616.24,5.88,2020
Renta de la propiedad,17016633.79,0.4,2020
Otros ingresos,9231915.32,0.22,2020
Trabajo,1431275058.95,51.96,2022
Programas sociales y becas,669421539.36,24.3,2022
Negocio propio,287231808.75,10.43,2022
Transferencias,267681123.56,9.72,2022
Percepciones financieras y de capital,90845033.62,3.3,2022
Renta de la propiedad,7384600.69,0.27,2022
Otros ingresos,993067.5700000001,0.04,2022
Trabajo,1132324340.93,51.82,2024
Programas sociales y becas,636077251.92,29.11,2024
Negocio propio,277886441.63,12.72,2024
Percepciones financieras y de capital,79882588.01,3.66,2024
Transferencias,47589730.9,2.18,2024
Renta de la propiedad,11250388.040000001,0.51,2024
Otros ingresos,2542.8,0.0,2024
