macrotema,monto_exp,pct,decil,año
Trabajo,21052049.66,56.83,1,2020
Programas sociales y becas,11481564.73,31.0,1,2020
Percepciones financieras y de capital,2745430.38,7.41,1,2020
Negocio propio,935029.68,2.52,1,2020
Transferencias,828584.6399999999,2.24,1,2020
Programas sociales y becas,68067741.57,42.21,2,2020
Trabajo,62239148.34,38.6,2,2020
Negocio propio,14150879.67,8.78,2,2020
Percepciones financieras y de capital,12333712.91,7.65,2,2020
Transferencias,4459343.75,2.77,2,2020
Trabajo,101096499.83,46.6,3,2020
Programas sociales y becas,81690510.1,37.65,3,2020
Negocio propio,23563450.22,10.86,3,2020
Transferencias,5764618.7700000005,2.66,3,2020
Percepciones financieras y de capital,4794596.15,2.21,3,2020
Renta de la propiedad,47704.6,0.02,3,2020
Trabajo,137207119.12,53.4,4,2020
Programas sociales y becas,75081159.45,29.22,4,2020
Transferencias,23119366.04,9.0,4,2020
Negocio propio,12918581.01,5.03,4,2020
Percepciones financieras y de capital,6058334.28,2.36,4,2020
Otros ingresos,2569029.94,1.0,4,2020
Trabajo,191858200.72,48.89,5,2020
Programas sociales y becas,122549655.62,31.23,5,2020
Percepciones financieras y de capital,29585784.41,7.54,5,2020
Transferencias,23699947.68,6.04,5,2020
Negocio propio,23008696.91,5.86,5,2020
Renta de la propiedad,1666336.87,0.42,5,2020
Otros ingresos,54585.420000000006,0.01,5,2020
Trabajo,215318393.09,38.33,6,2020
Programas sociales y becas,160344326.1,28.54,6,2020
Negocio propio,83761773.64,14.91,6,2020
Transferencias,62277025.49,11.09,6,2020
Percepciones financieras y de capital,36754460.94,6.54,6,2020
Renta de la propiedad,3345649.2,0.6,6,2020
Trabajo,184800746.06,50.14,7,2020
Programas sociales y becas,79878166.59,21.67,7,2020
Negocio propio,57618455.47,15.63,7,2020
Transferencias,34026690.31,9.23,7,2020
Percepciones financieras y de capital,6084725.21,1.65,7,2020
Otros ingresos,5341299.6,1.45,7,2020
Renta de la propiedad,842281.86,0.23,7,2020
Trabajo,407228985.94,49.99,8,2020
Transferencias,209843024.67999998,25.76,8,2020
Programas sociales y becas,115828097.57,14.22,8,2020
Negocio propio,44173210.6,5.42,8,2020
Percepciones financieras y de capital,31679596.39,3.89,8,2020
Renta de la propiedad,4674264.140000001,0.57,8,2020
Otros ingresos,1247918.52,0.15,8,2020
Trabajo,499693035.77,64.87,9,2020
Programas sociales y becas,126893029.8,16.47,9,2020
Transferencias,95493835.14,12.4,9,2020
Negocio propio,22904202.15,2.97,9,2020
Percepciones financieras y de capital,22778196.97,2.96,9,2020
Renta de la propiedad,2582608.16,0.34,9,2020
Trabajo,313043072.64,48.15,10,2020
Transferencias,156012328.79,24.0,10,2020
Percepciones financieras y de capital,96100778.6,14.78,10,2020
Negocio propio,51270847.65,7.89,10,2020
Programas sociales y becas,29840235.92,4.59,10,2020
Renta de la propiedad,3857788.96,0.59,10,2020
Otros ingresos,19081.84,0.0,10,2020
Programas sociales y becas,8142403.73,37.32,1,2022
Percepciones financieras y de capital,5698668.73,26.12,1,2022
Trabajo,3722725.4099999997,17.06,1,2022
Transferencias,2856457.87,13.09,1,2022
Negocio propio,1395113.36,6.4,1,2022
Trabajo,36572459.32,46.35,2,2022
Programas sociales y becas,34194364.94,43.34,2,2022
Transferencias,4888263.45,6.2,2,2022
Negocio propio,2452637.74,3.11,2,2022
Renta de la propiedad,431412.66000000003,0.55,2,2022
Percepciones financieras y de capital,367287.15,0.47,2,2022
Programas sociales y becas,92633703.84,53.63,3,2022
Trabajo,42309935.92,24.49,3,2022
Transferencias,20461742.43,11.85,3,2022
Negocio propio,10583191.97,6.13,3,2022
Percepciones financieras y de capital,6729576.340000001,3.9,3,2022
Otros ingresos,15049.08,0.01,3,2022
Trabajo,62289004.83,41.23,4,2022
Programas sociales y becas,39517223.53,26.15,4,2022
Transferencias,36018547.230000004,23.84,4,2022
Negocio propio,9079000.35,6.01,4,2022
Percepciones financieras y de capital,4184151.3299999996,2.77,4,2022
Otros ingresos,2939.17,0.0,4,2022
Trabajo,129143917.06,49.47,5,2022
Programas sociales y becas,100820570.89,38.62,5,2022
Transferencias,16996196.65,6.51,5,2022
Negocio propio,10451083.32,4.0,5,2022
Percepciones financieras y de capital,3603260.08,1.38,5,2022
Otros ingresos,30081.81,0.01,5,2022
Programas sociales y becas,120655860.15,35.52,6,2022
Trabajo,107619593.18,31.68,6,2022
Negocio propio,54570423.5,16.06,6,2022
Transferencias,27103600.009999998,7.98,6,2022
Percepciones financieras y de capital,25568236.75,7.53,6,2022
Renta de la propiedad,4079344.2,1.2,6,2022
Otros ingresos,88228.92,0.03,6,2022
Trabajo,260244571.82,64.79,7,2022
Programas sociales y becas,85287026.97,21.23,7,2022
Negocio propio,23927531.89,5.96,7,2022
Transferencias,23713238.68,5.9,7,2022
Percepciones financieras y de capital,6641322.98,1.65,7,2022
Renta de la propiedad,1260496.6400000001,0.31,7,2022
Otros ingresos,578784.4500000001,0.14,7,2022
Trabajo,165568880.94,68.27,8,2022
Programas sociales y becas,43287318.6,17.85,8,2022
Transferencias,16965091.310000002,7.0,8,2022
Negocio propio,15752520.4,6.5,8,2022
Percepciones financieras y de capital,946050.73,0.39,8,2022
Trabajo,292942795.95,50.06,9,2022
Negocio propio,113932440.24,19.47,9,2022
Transferencias,94752550.84,16.19,9,2022
Programas sociales y becas,79212666.11,13.54,9,2022
Percepciones financieras y de capital,2425351.77,0.41,9,2022
Renta de la propiedad,1613347.19,0.28,9,2022
Otros ingresos,277984.14,0.05,9,2022
Trabajo,330861174.52,66.14,10,2022
Programas sociales y becas,65670400.6,13.13,10,2022
Negocio propio,45087865.980000004,9.01,10,2022
Percepciones financieras y de capital,34681127.76,6.93,10,2022
Transferencias,23925435.09,4.78,10,2022
Programas sociales y becas,3660745.2499999995,56.28,1,2024
Negocio propio,1004311.5499999999,15.44,1,2024
Trabajo,961139.1399999999,14.78,1,2024
Percepciones financieras y de capital,439042.34,6.75,1,2024
Transferencias,439042.34,6.75,1,2024
Programas sociales y becas,16779352.06,79.53,2,2024
Trabajo,3915287.7600000002,18.56,2,2024
Negocio propio,402972.42000000004,1.91,2,2024
Programas sociales y becas,111529361.85000001,43.85,3,2024
Trabajo,107740904.04,42.36,3,2024
Negocio propio,17204407.9,6.76,3,2024
Transferencias,11622125.34,4.57,3,2024
Percepciones financieras y de capital,6260805.84,2.46,3,2024
Programas sociales y becas,39618136.0,34.58,4,2024
Trabajo,25524959.4,22.28,4,2024
Negocio propio,24478005.79,21.37,4,2024
Percepciones financieras y de capital,13839061.48,12.08,4,2024
Transferencias,10405139.68,9.08,4,2024
Renta de la propiedad,694283.2000000001,0.61,4,2024
Programas sociales y becas,86862076.51,47.48,5,2024
Trabajo,78519278.56,42.92,5,2024
Transferencias,9946027.22,5.44,5,2024
Negocio propio,5576196.31,3.05,5,2024
Renta de la propiedad,1525053.4200000002,0.83,5,2024
Percepciones financieras y de capital,520271.62,0.28,5,2024
Trabajo,165269361.36,54.61,6,2024
Programas sociales y becas,85681745.51,28.31,6,2024
Negocio propio,41206910.949999996,13.61,6,2024
Transferencias,7124058.24,2.35,6,2024
Percepciones financieras y de capital,3381244.4099999997,1.12,6,2024
Trabajo,30175223.3,47.25,7,2024
Programas sociales y becas,16688181.62,26.13,7,2024
Negocio propio,10802413.459999999,16.91,7,2024
Transferencias,3163914.81,4.95,7,2024
Percepciones financieras y de capital,2986522.7,4.68,7,2024
Renta de la propiedad,51358.3,0.08,7,2024
