clave,monto_exp,pct,programa,decil,año
P108,10875828.46,94.72,JCF,1,2020
P102,488345.52,4.25,BJ media superior,1,2020
P101,117390.75,1.02,Benito Juarez basica,1,2020
P108,61807967.21,90.8,JCF,2,2020
P102,2268885.75,3.33,BJ media superior,2,2020
P043,1877385.51,2.76,PROCAMPO/ProAgro,2,2020
P101,1300669.96,1.91,Benito Juarez basica,2,2020
P104,747780.1799999999,1.1,Adultos mayores,2,2020
P048,65052.96,0.1,Otros programas sociales,2,2020
P108,78950653.03,96.65,JCF,3,2020
P048,1458883.76,1.79,Otros programas sociales,3,2020
P101,782605.0,0.96,Benito Juarez basica,3,2020
P105,303220.83,0.37,Discapacidad,3,2020
P043,195147.48,0.24,PROCAMPO/ProAgro,3,2020
P108,54440776.75,72.51,JCF,4,2020
P048,7324727.74,9.76,Otros programas sociales,4,2020
P104,4341948.449999999,5.78,Adultos mayores,4,2020
P105,2523670.1999999997,3.36,Discapacidad,4,2020
P102,2274454.5,3.03,BJ media superior,4,2020
P101,2119916.34,2.82,Benito Juarez basica,4,2020
P043,2055665.47,2.74,PROCAMPO/ProAgro,4,2020
P108,99810484.42,81.44,JCF,5,2020
P104,8216338.4,6.7,Adultos mayores,5,2020
P101,5872355.82,4.79,Benito Juarez basica,5,2020
P102,3916045.81,3.2,BJ media superior,5,2020
P105,1773089.0,1.45,Discapacidad,5,2020
P048,1747965.5,1.43,Otros programas sociales,5,2020
P103,1213376.6700000002,0.99,Jov Escribiendo,5,2020
P108,132482351.1,82.62,JCF,6,2020
P104,11632745.95,7.25,Adultos mayores,6,2020
P101,9873692.92,6.16,Benito Juarez basica,6,2020
P102,4035315.07,2.52,BJ media superior,6,2020
P105,1340194.44,0.84,Discapacidad,6,2020
P043,980026.6200000001,0.61,PROCAMPO/ProAgro,6,2020
P108,62991542.11,78.86,JCF,7,2020
P104,5278666.4,6.61,Adultos mayores,7,2020
P043,4259924.0,5.33,PROCAMPO/ProAgro,7,2020
P101,2460405.67,3.08,Benito Juarez basica,7,2020
P102,1839571.7000000002,2.3,BJ media superior,7,2020
P048,1817702.97,2.28,Otros programas sociales,7,2020
P105,778398.39,0.97,Discapacidad,7,2020
P106,451955.35000000003,0.57,Madres trabajadoras,7,2020
