cve_ent,nivel,sexo,edad,personas,año
01,Secundaria,FEMENINO,23,223,2020
03,Media superior,FEMENINO,23,115,2020
03,Media superior,MASCULINO,19,33,2020
03,Media superior,MASCULINO,20,77,2020
03,Secundaria,MASCULINO,27,31,2020
03,Superior,FEMENINO,19,35,2020
03,Superior,FEMENINO,20,111,2020
03,Superior,FEMENINO,26,73,2020
04,Media superior,FEMENINO,21,251,2020
04,Media superior,FEMENINO,22,112,2020
04,Media superior,FEMENINO,25,134,2020
04,Media superior,FEMENINO,27,118,2020
04,Media superior,FEMENINO,29,117,2020
04,Media superior,FEMENINO,30,127,2020
04,Media superior,MASCULINO,27,123,2020
04,Primaria,FEMENINO,20,121,2020
04,Primaria,FEMENINO,23,123,2020
04,Primaria,MASCULINO,24,114,2020
04,Secundaria,FEMENINO,22,256,2020
04,Secundaria,FEMENINO,23,125,2020
04,Secundaria,FEMENINO,27,112,2020
04,Secundaria,MASCULINO,28,91,2020
04,Superior,FEMENINO,22,92,2020
04,Superior,FEMENINO,25,229,2020
04,Superior,FEMENINO,26,122,2020
04,Superior,MASCULINO,23,92,2020
04,Superior,MASCULINO,24,115,2020
04,Superior,MASCULINO,28,119,2020
06,Media superior,MASCULINO,18,131,2020
06,Media superior,MASCULINO,26,100,2020
06,Secundaria,FEMENINO,21,16,2020
06,Superior,FEMENINO,20,98,2020
06,Superior,MASCULINO,26,54,2020
07,Media superior,FEMENINO,19,711,2020
07,Media superior,FEMENINO,20,779,2020
07,Media superior,FEMENINO,21,775,2020
07,Media superior,FEMENINO,23,566,2020
07,Media superior,FEMENINO,25,599,2020
07,Media superior,FEMENINO,27,549,2020
07,Media superior,MASCULINO,20,1745,2020
07,Media superior,MASCULINO,26,748,2020
07,Primaria,FEMENINO,20,542,2020
07,Primaria,FEMENINO,23,1174,2020
07,Primaria,FEMENINO,27,641,2020
07,Primaria,FEMENINO,28,813,2020
07,Primaria,MASCULINO,20,813,2020
07,Primaria,MASCULINO,23,813,2020
07,Secundaria,FEMENINO,22,725,2020
07,Secundaria,FEMENINO,23,644,2020
07,Secundaria,MASCULINO,20,616,2020
07,Secundaria,MASCULINO,21,813,2020
07,Secundaria,MASCULINO,25,644,2020
07,Secundaria,MASCULINO,28,796,2020
07,Superior,FEMENINO,27,565,2020
07,Superior,MASCULINO,23,702,2020
07,Superior,MASCULINO,24,725,2020
08,Media superior,FEMENINO,23,110,2020
08,Media superior,FEMENINO,24,112,2020
08,Media superior,MASCULINO,21,335,2020
08,Primaria,MASCULINO,30,104,2020
08,Secundaria,MASCULINO,28,86,2020
08,Superior,MASCULINO,20,263,2020
09,Superior,FEMENINO,27,1364,2020
09,Superior,FEMENINO,28,1160,2020
09,Superior,MASCULINO,24,1364,2020
10,Media superior,FEMENINO,20,132,2020
10,Media superior,FEMENINO,28,132,2020
10,Secundaria,FEMENINO,28,215,2020
10,Secundaria,MASCULINO,22,252,2020
11,Superior,FEMENINO,22,289,2020
11,Superior,FEMENINO,24,611,2020
12,Media superior,FEMENINO,19,982,2020
12,Media superior,FEMENINO,20,385,2020
12,Media superior,FEMENINO,22,233,2020
12,Media superior,FEMENINO,23,479,2020
12,Media superior,FEMENINO,26,306,2020
12,Media superior,FEMENINO,28,240,2020
12,Media superior,MASCULINO,24,312,2020
12,Media superior,MASCULINO,27,240,2020
12,Posgrado,FEMENINO,26,297,2020
12,Primaria,MASCULINO,25,309,2020
12,Primaria,MASCULINO,27,309,2020
12,Secundaria,FEMENINO,19,325,2020
12,Secundaria,FEMENINO,22,310,2020
12,Secundaria,FEMENINO,23,1079,2020
12,Secundaria,FEMENINO,24,738,2020
12,Secundaria,FEMENINO,26,309,2020
12,Secundaria,FEMENINO,27,496,2020
12,Secundaria,FEMENINO,28,294,2020
12,Secundaria,MASCULINO,20,496,2020
12,Secundaria,MASCULINO,22,309,2020
12,Superior,FEMENINO,23,385,2020
12,Superior,FEMENINO,24,306,2020
12,Superior,MASCULINO,22,294,2020
12,Superior,MASCULINO,24,385,2020
13,Media superior,FEMENINO,19,354,2020
13,Media superior,FEMENINO,20,354,2020
13,Media superior,MASCULINO,28,301,2020
13,Secundaria,MASCULINO,24,332,2020
13,Superior,MASCULINO,24,301,2020
13,Superior,MASCULINO,28,354,2020
13,Superior,MASCULINO,29,394,2020
15,Media superior,FEMENINO,18,1546,2020
15,Media superior,MASCULINO,23,1607,2020
15,Superior,FEMENINO,22,262,2020
15,Superior,MASCULINO,21,1595,2020
15,Superior,MASCULINO,24,397,2020
16,Media superior,FEMENINO,23,741,2020
16,Media superior,FEMENINO,25,465,2020
16,Media superior,MASCULINO,26,741,2020
16,Primaria,MASCULINO,20,639,2020
16,Secundaria,FEMENINO,24,650,2020
16,Superior,FEMENINO,23,585,2020
16,Superior,MASCULINO,28,741,2020
17,Media superior,FEMENINO,19,75,2020
17,Media superior,FEMENINO,20,415,2020
17,Media superior,FEMENINO,21,75,2020
17,Media superior,FEMENINO,24,75,2020
