edad_num,personas,universo,año
18,537516,candidato,2020
19,421549,candidato,2020
20,516559,candidato,2020
21,431233,candidato,2020
22,536722,candidato,2020
23,495834,candidato,2020
24,505874,candidato,2020
25,511538,candidato,2020
26,535612,candidato,2020
27,470143,candidato,2020
28,485266,candidato,2020
29,378938,candidato,2020
14,104,tiene_jcf,2020
15,81,tiene_jcf,2020
16,1088,tiene_jcf,2020
17,1834,tiene_jcf,2020
18,9857,tiene_jcf,2020
19,16632,tiene_jcf,2020
20,33617,tiene_jcf,2020
21,29829,tiene_jcf,2020
22,30386,tiene_jcf,2020
23,32675,tiene_jcf,2020
24,30894,tiene_jcf,2020
25,26732,tiene_jcf,2020
26,18411,tiene_jcf,2020
27,21150,tiene_jcf,2020
28,15765,tiene_jcf,2020
29,10483,tiene_jcf,2020
30,11860,tiene_jcf,2020
31,1347,tiene_jcf,2020
38,116,tiene_jcf,2020
42,724,tiene_jcf,2020
49,116,tiene_jcf,2020
50,411,tiene_jcf,2020
69,314,tiene_jcf,2020
18,470486,candidato,2022
19,383279,candidato,2022
20,369590,candidato,2022
21,393563,candidato,2022
22,467704,candidato,2022
23,432194,candidato,2022
24,463162,candidato,2022
25,407696,candidato,2022
26,376799,candidato,2022
27,404813,candidato,2022
28,411445,candidato,2022
29,344448,candidato,2022
12,494,tiene_jcf,2022
14,247,tiene_jcf,2022
16,1755,tiene_jcf,2022
17,922,tiene_jcf,2022
18,5684,tiene_jcf,2022
19,19477,tiene_jcf,2022
20,21045,tiene_jcf,2022
21,15569,tiene_jcf,2022
22,12876,tiene_jcf,2022
23,12284,tiene_jcf,2022
24,10340,tiene_jcf,2022
25,14739,tiene_jcf,2022
26,11835,tiene_jcf,2022
27,8156,tiene_jcf,2022
28,9755,tiene_jcf,2022
29,9589,tiene_jcf,2022
30,2661,tiene_jcf,2022
38,575,tiene_jcf,2022
44,602,tiene_jcf,2022
46,638,tiene_jcf,2022
49,694,tiene_jcf,2022
58,364,tiene_jcf,2022
18,462475,candidato,2024
19,357660,candidato,2024
20,396500,candidato,2024
21,345505,candidato,2024
22,397011,candidato,2024
23,406535,candidato,2024
24,453342,candidato,2024
25,398746,candidato,2024
26,406647,candidato,2024
27,415721,candidato,2024
28,399283,candidato,2024
29,386555,candidato,2024
15,764,tiene_jcf,2024
16,343,tiene_jcf,2024
17,241,tiene_jcf,2024
18,2429,tiene_jcf,2024
19,10745,tiene_jcf,2024
20,14170,tiene_jcf,2024
21,6799,tiene_jcf,2024
22,8259,tiene_jcf,2024
23,11166,tiene_jcf,2024
24,10078,tiene_jcf,2024
25,10790,tiene_jcf,2024
26,4557,tiene_jcf,2024
27,7313,tiene_jcf,2024
28,5301,tiene_jcf,2024
29,4567,tiene_jcf,2024
30,2073,tiene_jcf,2024
31,129,tiene_jcf,2024
37,199,tiene_jcf,2024
59,1331,tiene_jcf,2024
