año,cve_ent,nombre_ent,cve_mun,nombre_mun,beneficiarios,candidatos,pct_pobreza,indice_marginacion,grado_marginacion
2019,01,Aguascalientes,01001,Aguascalientes,2924,0,30.2213998212,60.3187950417198,Muy bajo
2019,01,Aguascalientes,01002,Asientos,738,0,65.5405342945,56.546071016613,Muy bajo
2019,01,Aguascalientes,01003,Calvillo,227,0,68.403045589,57.0582509369582,Muy bajo
2019,01,Aguascalientes,01004,Cosío,51,0,54.1992972501,57.1140301001378,Muy bajo
2019,01,Aguascalientes,01005,Jesús María,262,0,42.3775724457,59.0117616967172,Muy bajo
2019,01,Aguascalientes,01006,Pabellón de Arteaga,292,0,51.0565298168,58.6247678266779,Muy bajo
2019,01,Aguascalientes,01007,Rincón de Romos,167,0,51.1695940186,57.6466713495514,Muy bajo
2019,01,Aguascalientes,01008,San José de Gracia,819,0,65.767638484,57.5275305589345,Muy bajo
2019,01,Aguascalientes,01009,Tepezalá,350,0,65.7787152657,56.6043143837497,Muy bajo
2019,01,Aguascalientes,01010,El Llano,178,0,66.2086505869,56.5557942161932,Muy bajo
2019,01,Aguascalientes,01011,San Francisco de los Romo,130,0,42.225806732,58.5520978333435,Muy bajo
2019,02,Baja California,02001,Ensenada,798,0,34.5725316052,58.082237567032,Muy bajo
2019,02,Baja California,02002,Mexicali,665,0,29.9620778032,59.3849890945595,Muy bajo
2019,02,Baja California,02003,Tecate,58,0,29.5925733617,58.3900774399861,Muy bajo
2019,02,Baja California,02004,Tijuana,1235,0,31.0873471984,59.1402868170204,Muy bajo
2019,02,Baja California,02005,Playas de Rosarito,43,0,41.5647081929,58.291417465293,Muy bajo
2019,03,Baja California Sur,03001,Comondú,1302,0,42.8358499669,58.2638228268869,Muy bajo
2019,03,Baja California Sur,03002,Mulegé,668,0,39.6817097925,57.4925673102967,Muy bajo
2019,03,Baja California Sur,03003,La Paz,1732,0,25.5206328547,59.8532531027085,Muy bajo
2019,03,Baja California Sur,03008,Los Cabos,389,0,30.1208618676,58.7357270060101,Muy bajo
2019,03,Baja California Sur,03009,Loreto,125,0,41.1846372331,58.8193122984084,Muy bajo
2019,04,Campeche,04001,Calkiní,2896,0,62.6360005039,55.3812819245503,Bajo
2019,04,Campeche,04002,Campeche,8129,0,33.9022530195,58.6407010357592,Muy bajo
2019,04,Campeche,04003,Carmen,3245,0,38.3847298378,58.0950832846142,Muy bajo
2019,04,Campeche,04004,Champotón,2041,0,63.5783988401,54.8325989080778,Bajo
2019,04,Campeche,04005,Hecelchakán,1624,0,64.6961222763,55.6860046589221,Bajo
2019,04,Campeche,04006,Hopelchén,1535,0,79.1142633495,53.6026514197597,Medio
2019,04,Campeche,04007,Palizada,1467,0,61.4659610028,52.7603020275498,Medio
2019,04,Campeche,04008,Tenabo,1345,0,66.9604164283,55.1820078528213,Bajo
2019,04,Campeche,04009,Escárcega,2063,0,71.1885231894,54.8902956416295,Bajo
2019,04,Campeche,04010,Calakmul,1253,0,82.8759718118,50.7093716101968,Alto
2019,04,Campeche,04011,Candelaria,1834,0,69.6155819887,50.5139363387235,Alto
2019,05,Coahuila de Zaragoza,05001,Abasolo,5,0,48.8438818565,57.8201477198815,Muy bajo
2019,05,Coahuila de Zaragoza,05002,Acuña,111,0,25.1518924436,58.4817122918216,Muy bajo
2019,05,Coahuila de Zaragoza,05003,Allende,23,0,29.3902134871,59.7938289954527,Muy bajo
2019,05,Coahuila de Zaragoza,05004,Arteaga,56,0,25.2602024251,58.0449869593202,Muy bajo
2019,05,Coahuila de Zaragoza,05005,Candela,45,0,61.1092436975,55.9194917338476,Bajo
2019,05,Coahuila de Zaragoza,05006,Castaños,68,0,30.2930138701,59.3106239603317,Muy bajo
2019,05,Coahuila de Zaragoza,05007,Cuatro Ciénegas,27,0,45.9033327321,57.220514347307,Muy bajo
2019,05,Coahuila de Zaragoza,05008,Escobedo,12,0,64.0681102362,56.4434939150664,Bajo
2019,05,Coahuila de Zaragoza,05009,Francisco I. Madero,368,0,43.9480080906,57.8246734818765,Muy bajo
2019,05,Coahuila de Zaragoza,05010,Frontera,111,0,28.0321195432,60.0842709636714,Muy bajo
2019,05,Coahuila de Zaragoza,05011,General Cepeda,65,0,37.1910035519,57.1210015864091,Muy bajo
2019,05,Coahuila de Zaragoza,05012,Guerrero,8,0,51.1957575758,55.6679087962824,Bajo
2019,05,Coahuila de Zaragoza,05013,Hidalgo,3,0,58.0534979424,56.0716090813527,Bajo
2019,05,Coahuila de Zaragoza,05014,Jiménez,21,0,68.7309265945,55.4032123875801,Bajo
2019,05,Coahuila de Zaragoza,05015,Juárez,21,0,59.0027155465,56.6770026083266,Muy bajo
2019,05,Coahuila de Zaragoza,05016,Lamadrid,4,0,59.1054398925,57.3261855621437,Muy bajo
