cve_ent,cve_mun,edad,sexo,poblacion
01,01001,18,FEMENINO,2348
01,01001,18,MASCULINO,1461
01,01001,19,FEMENINO,2414
01,01001,19,MASCULINO,1453
01,01001,20,FEMENINO,2809
01,01001,20,MASCULINO,998
01,01001,21,FEMENINO,1718
01,01001,21,MASCULINO,858
01,01001,22,FEMENINO,2867
01,01001,22,MASCULINO,891
01,01001,23,FEMENINO,2898
01,01001,23,MASCULINO,982
01,01001,24,FEMENINO,3394
01,01001,24,MASCULINO,890
01,01001,25,FEMENINO,2845
01,01001,25,MASCULINO,964
01,01001,26,FEMENINO,2841
01,01001,26,MASCULINO,678
01,01001,27,FEMENINO,3154
01,01001,27,MASCULINO,1143
01,01001,28,FEMENINO,3277
01,01001,28,MASCULINO,706
01,01001,29,FEMENINO,2607
01,01001,29,MASCULINO,530
01,01002,18,FEMENINO,192
01,01002,18,MASCULINO,81
01,01002,19,FEMENINO,261
01,01002,19,MASCULINO,129
01,01002,20,FEMENINO,254
01,01002,20,MASCULINO,102
01,01002,21,FEMENINO,237
01,01002,21,MASCULINO,98
01,01002,22,FEMENINO,273
01,01002,22,MASCULINO,109
01,01002,23,FEMENINO,274
01,01002,23,MASCULINO,44
01,01002,24,FEMENINO,177
01,01002,24,MASCULINO,70
01,01002,25,FEMENINO,303
01,01002,25,MASCULINO,55
01,01002,26,FEMENINO,278
01,01002,26,MASCULINO,35
01,01002,27,FEMENINO,250
01,01002,27,MASCULINO,47
01,01002,28,FEMENINO,228
01,01002,28,MASCULINO,90
01,01002,29,FEMENINO,297
01,01002,29,MASCULINO,22
01,01003,18,FEMENINO,214
01,01003,18,MASCULINO,119
01,01003,19,FEMENINO,215
01,01003,19,MASCULINO,45
01,01003,20,FEMENINO,239
01,01003,20,MASCULINO,226
01,01003,21,FEMENINO,226
01,01003,21,MASCULINO,129
01,01003,22,FEMENINO,237
01,01003,22,MASCULINO,115
01,01003,23,FEMENINO,281
01,01003,23,MASCULINO,187
01,01003,24,FEMENINO,264
01,01003,24,MASCULINO,86
01,01003,25,FEMENINO,235
01,01003,25,MASCULINO,105
01,01003,26,FEMENINO,188
01,01003,26,MASCULINO,47
01,01003,27,FEMENINO,275
01,01003,27,MASCULINO,83
01,01003,28,FEMENINO,179
01,01003,28,MASCULINO,97
01,01003,29,FEMENINO,240
01,01003,29,MASCULINO,21
01,01004,18,FEMENINO,80
01,01004,18,MASCULINO,29
01,01004,19,FEMENINO,99
01,01004,19,MASCULINO,23
01,01004,20,FEMENINO,95
01,01004,20,MASCULINO,44
01,01004,21,FEMENINO,74
01,01004,21,MASCULINO,11
01,01004,22,FEMENINO,81
01,01004,22,MASCULINO,29
01,01004,23,FEMENINO,76
01,01004,23,MASCULINO,5
01,01004,24,FEMENINO,77
01,01004,24,MASCULINO,6
01,01004,25,FEMENINO,93
01,01004,25,MASCULINO,28
01,01004,26,FEMENINO,76
01,01004,26,MASCULINO,6
01,01004,27,FEMENINO,85
01,01004,27,MASCULINO,8
01,01004,28,FEMENINO,54
01,01004,28,MASCULINO,10
01,01004,29,FEMENINO,67
01,01004,29,MASCULINO,14
01,01005,18,FEMENINO,323
01,01005,18,MASCULINO,128
01,01005,19,FEMENINO,354
01,01005,19,MASCULINO,222
01,01005,20,FEMENINO,265
01,01005,20,MASCULINO,95
01,01005,21,FEMENINO,284
01,01005,21,MASCULINO,151
01,01005,22,FEMENINO,281
01,01005,22,MASCULINO,97
01,01005,23,FEMENINO,487
01,01005,23,MASCULINO,96
01,01005,24,FEMENINO,387
01,01005,24,MASCULINO,93
01,01005,25,FEMENINO,516
01,01005,25,MASCULINO,124
01,01005,26,FEMENINO,345
01,01005,26,MASCULINO,130
01,01005,27,FEMENINO,373
01,01005,27,MASCULINO,54
01,01005,28,FEMENINO,329
01,01005,28,MASCULINO,85
01,01005,29,FEMENINO,312
01,01005,29,MASCULINO,129
01,01006,18,FEMENINO,168
01,01006,18,MASCULINO,79
01,01006,19,FEMENINO,130
01,01006,19,MASCULINO,94
01,01006,20,FEMENINO,157
01,01006,20,MASCULINO,146
01,01006,21,FEMENINO,89
01,01006,21,MASCULINO,32
01,01006,22,FEMENINO,175
01,01006,22,MASCULINO,79
01,01006,23,FEMENINO,155
01,01006,23,MASCULINO,64
01,01006,24,FEMENINO,243
01,01006,24,MASCULINO,65
01,01006,25,FEMENINO,151
01,01006,25,MASCULINO,46
01,01006,26,FEMENINO,200
01,01006,26,MASCULINO,104
01,01006,27,FEMENINO,168
01,01006,27,MASCULINO,31
01,01006,28,FEMENINO,209
01,01006,28,MASCULINO,29
01,01006,29,FEMENINO,180
01,01006,29,MASCULINO,25
01,01007,18,FEMENINO,220
01,01007,18,MASCULINO,124
01,01007,19,FEMENINO,218
01,01007,19,MASCULINO,104
01,01007,20,FEMENINO,204
01,01007,20,MASCULINO,88
01,01007,21,FEMENINO,220
01,01007,21,MASCULINO,67
01,01007,22,FEMENINO,240
01,01007,22,MASCULINO,84
01,01007,23,FEMENINO,193
01,01007,23,MASCULINO,57
01,01007,24,FEMENINO,292
01,01007,24,MASCULINO,93
01,01007,25,FEMENINO,275
01,01007,25,MASCULINO,41
01,01007,26,FEMENINO,242
01,01007,26,MASCULINO,33
01,01007,27,FEMENINO,231
01,01007,27,MASCULINO,54
01,01007,28,FEMENINO,197
01,01007,28,MASCULINO,27
01,01007,29,FEMENINO,277
01,01007,29,MASCULINO,40
01,01008,18,FEMENINO,28
01,01008,18,MASCULINO,44
01,01008,19,FEMENINO,59
01,01008,19,MASCULINO,33
01,01008,20,FEMENINO,51
01,01008,20,MASCULINO,11
01,01008,21,FEMENINO,45
01,01008,21,MASCULINO,24
01,01008,22,FEMENINO,42
01,01008,22,MASCULINO,22
01,01008,23,FEMENINO,43
01,01008,23,MASCULINO,20
01,01008,24,FEMENINO,68
01,01008,24,MASCULINO,21
01,01008,25,FEMENINO,63
01,01008,25,MASCULINO,8
01,01008,26,FEMENINO,61
01,01008,26,MASCULINO,14
01,01008,27,FEMENINO,51
01,01008,27,MASCULINO,9
01,01008,28,FEMENINO,42
01,01008,28,MASCULINO,15
01,01008,29,FEMENINO,46
01,01008,29,MASCULINO,13
01,01009,18,FEMENINO,134
01,01009,18,MASCULINO,68
01,01009,19,FEMENINO,105
01,01009,19,MASCULINO,45
01,01009,20,FEMENINO,109
01,01009,20,MASCULINO,29
01,01009,21,FEMENINO,130
01,01009,21,MASCULINO,44
01,01009,22,FEMENINO,128
01,01009,22,MASCULINO,39
01,01009,23,FEMENINO,87
01,01009,23,MASCULINO,38
01,01009,24,FEMENINO,114
01,01009,24,MASCULINO,33
01,01009,25,FEMENINO,127
01,01009,25,MASCULINO,39
01,01009,26,FEMENINO,151
01,01009,26,MASCULINO,31
01,01009,27,FEMENINO,117
01,01009,27,MASCULINO,31
01,01009,28,FEMENINO,110
01,01009,28,MASCULINO,22
01,01009,29,FEMENINO,128
01,01009,29,MASCULINO,14
01,01010,18,FEMENINO,127
01,01010,18,MASCULINO,44
01,01010,19,FEMENINO,136
01,01010,19,MASCULINO,38
01,01010,20,FEMENINO,88
01,01010,20,MASCULINO,36
