año,cve_mun,cve_ent,candidatos_estimados,beneficiarios,tasa
2019,01001,01,44269,2924,0.06605073527750796
2020,01001,01,44726,2943,0.06580065286410589
2021,01001,01,44980,2662,0.05918185860382392
2022,01001,01,45146,2471,0.05473353120985248
2023,01001,01,45260,3360,0.07423773751657092
2024,01001,01,45344,2354,0.05191425546930134
2025,01001,01,45426,2452,0.05397789812001937
2019,01002,01,3866,738,0.1908949818934299
2020,01002,01,3906,1625,0.4160266257040451
2021,01002,01,3928,1631,0.41522403258655805
2022,01002,01,3943,928,0.23535379152929242
2023,01002,01,3953,1219,0.30837338730078423
2024,01002,01,3960,777,0.1962121212121212
2025,01002,01,3967,711,0.1792286362490547
2019,01003,01,4012,227,0.056580259222333
2020,01003,01,4053,219,0.0540340488527017
2021,01003,01,4076,232,0.05691854759568204
2022,01003,01,4091,213,0.05206550965534099
2023,01003,01,4101,478,0.11655693733235796
2024,01003,01,4109,397,0.09661718179605744
2025,01003,01,4116,671,0.163022351797862
2019,01004,01,1158,51,0.04404145077720207
2020,01004,01,1170,57,0.04871794871794872
2021,01004,01,1177,45,0.038232795242141036
2022,01004,01,1181,47,0.03979678238780694
2023,01004,01,1184,126,0.10641891891891891
2024,01004,01,1186,105,0.08853288364249579
2025,01004,01,1188,146,0.12289562289562289
2019,01005,01,5602,262,0.0467690110674759
2020,01005,01,5660,299,0.05282685512367491
2021,01005,01,5692,318,0.05586788475052706
2022,01005,01,5713,323,0.05653772098722212
2023,01005,01,5728,465,0.08118016759776536
2024,01005,01,5738,303,0.052805855698849775
2025,01005,01,5749,484,0.08418855453122281
2019,01006,01,2790,292,0.10465949820788531
2020,01006,01,2819,408,0.14473217452997517
2021,01006,01,2835,484,0.1707231040564374
2022,01006,01,2845,362,0.1272407732864675
2023,01006,01,2853,391,0.13704872064493515
2024,01006,01,2858,237,0.08292512246326102
2025,01006,01,2863,383,0.13377575969263011
2019,01007,01,3584,167,0.046595982142857144
2020,01007,01,3621,268,0.0740127036730185
2021,01007,01,3642,562,0.1543108182317408
2022,01007,01,3655,476,0.13023255813953488
2023,01007,01,3664,510,0.13919213973799127
2024,01007,01,3671,327,0.08907654590029965
2025,01007,01,3678,441,0.1199021207177814
2019,01008,01,824,819,0.9939320388349514
2020,01008,01,833,905,1.0864345738295318
2021,01008,01,838,598,0.7136038186157518
2022,01008,01,841,391,0.464922711058264
2023,01008,01,843,208,0.24673784104389088
2024,01008,01,845,154,0.18224852071005918
2025,01008,01,846,188,0.2222222222222222
2019,01009,01,1854,350,0.18878101402373246
2020,01009,01,1873,697,0.37213027229044315
2021,01009,01,1884,620,0.32908704883227174
2022,01009,01,1891,246,0.13008989952406133
2023,01009,01,1895,390,0.20580474934036938
2024,01009,01,1899,285,0.1500789889415482
2025,01009,01,1902,271,0.14248159831756047
2019,01010,01,1829,178,0.09732094040459267
2020,01010,01,1848,273,0.14772727272727273
2021,01010,01,1858,536,0.2884822389666308
2022,01010,01,1865,563,0.3018766756032172
2023,01010,01,1870,675,0.3609625668449198
2024,01010,01,1874,380,0.20277481323372465
2025,01010,01,1877,352,0.1875332978156633
2019,01011,01,3800,130,0.034210526315789476
2020,01011,01,3839,159,0.04141703568637666
2021,01011,01,3861,152,0.03936803936803937
2022,01011,01,3875,155,0.04
2023,01011,01,3885,216,0.055598455598455596
2024,01011,01,3892,146,0.03751284686536485
2025,01011,01,3899,264,0.06770966914593486
2019,02001,02,19986,798,0.03992794956469529
2020,02001,02,20286,833,0.04106280193236715
2021,02001,02,20372,542,0.02660514431572747
2022,02001,02,20423,749,0.03667433775645106
2023,02001,02,20456,1248,0.06100899491591709
2024,02001,02,20478,854,0.04170329133704463
2025,02001,02,20499,1229,0.05995414410459047
2019,02002,02,48843,665,0.01361505231046414
2020,02002,02,49575,719,0.014503277861825517
2021,02002,02,49786,648,0.013015707226931265
2022,02002,02,49910,1056,0.021158084552193947
2023,02002,02,49990,1081,0.021624324864972996
2024,02002,02,50044,443,0.008852210055151466
2025,02002,02,50096,755,0.0150710635579687
2019,02003,02,5365,58,0.010810810810810811
2020,02003,02,5445,45,0.008264462809917356
2021,02003,02,5468,19,0.003474762253108998
2022,02003,02,5482,68,0.012404232032105071
2023,02003,02,5491,100,0.01821161901293025
2024,02003,02,5497,43,0.007822448608331818
2025,02003,02,5502,60,0.010905125408942203
2019,02004,02,96767,1235,0.012762615354408011
2020,02004,02,98218,1180,0.012014091103463723
2021,02004,02,98636,758,0.007684820957865282
2022,02004,02,98881,724,0.007321932423822575
2023,02004,02,99040,667,0.0067346526655896605
2024,02004,02,99148,389,0.003923427603179086
2025,02004,02,99251,1097,0.011052785362364106
2019,02005,02,7384,43,0.0058234019501625135
2020,02005,02,7495,44,0.005870580386924617
2021,02005,02,7527,19,0.0025242460475621096
2022,02005,02,7546,43,0.005698383249403658
2023,02005,02,7558,81,0.01071712093146335
2024,02005,02,7566,55,0.0072693629394660324
2025,02005,02,7574,76,0.010034327964087668
2019,02006,02,7495,0,0.0
2020,02006,02,7607,0,0.0
2021,02006,02,7639,0,0.0
2022,02006,02,7658,0,0.0
2023,02006,02,7671,350,0.04562638508669013
2024,02006,02,7679,282,0.03672353170985805
2025,02006,02,7687,467,0.06075191882398855
2019,03001,03,3580,1302,0.3636871508379888
2020,03001,03,3634,2083,0.5731975784259769
2021,03001,03,3681,2682,0.7286063569682152
2022,03001,03,3723,2644,0.7101799623959173
2023,03001,03,3765,2738,0.7272244355909695
2024,03001,03,3808,2148,0.5640756302521008
2025,03001,03,3853,1967,0.5105112899039709
2019,03002,03,3214,668,0.20784069695084006
2020,03002,03,3262,821,0.25168608215818516
2021,03002,03,3305,696,0.21059001512859304
2022,03002,03,3342,605,0.1810293237582286
2023,03002,03,3379,660,0.19532406037289138
2024,03002,03,3418,528,0.15447630193095377
2025,03002,03,3458,1107,0.32012724117987273
2019,03003,03,11337,1732,0.1527741024962512
2020,03003,03,11508,2217,0.19264859228362877
2021,03003,03,11658,2619,0.22465259907359753
2022,03003,03,11791,2711,0.22992112628275804
2023,03003,03,11923,2155,0.1807431015683972
2024,03003,03,12058,1206,0.10001658649859015
2025,03003,03,12200,1638,0.13426229508196721
2019,03008,03,17940,389,0.021683389074693422
2020,03008,03,18211,689,0.0378342759870408
2021,03008,03,18449,1034,0.05604639817876308
2022,03008,03,18659,724,0.03880165067795702
2023,03008,03,18867,448,0.023745163513012136
2024,03008,03,19081,338,0.017713956291598974
2025,03008,03,19307,537,0.027813746309628632
2019,03009,03,852,125,0.1467136150234742
2020,03009,03,865,151,0.1745664739884393
2021,03009,03,876,85,0.09703196347031963
2022,03009,03,886,48,0.05417607223476298
2023,03009,03,896,68,0.07589285714285714
2024,03009,03,906,61,0.0673289183222958
2025,03009,03,917,207,0.2257360959651036
2019,04001,04,3440,2896,0.8418604651162791
2020,04001,04,3402,4082,1.1998824221046442
2021,04001,04,3373,2767,0.8203379780610732
2022,04001,04,3344,1804,0.5394736842105263
2023,04001,04,3319,1087,0.3275082856282013
2024,04001,04,3298,587,0.17798665858095816
2025,04001,04,3284,533,0.16230207064555421
2019,04002,04,12667,8129,0.6417462698350044
2020,04002,04,12529,9425,0.7522547689360684
2021,04002,04,12423,6374,0.513080576350318
2022,04002,04,12317,4406,0.35771697653649426
2023,04002,04,12222,4622,0.37817051219113074
2024,04002,04,12145,3554,0.292630712227254
2025,04002,04,12093,2451,0.20267923592160755
2019,04003,04,14950,3245,0.21705685618729098
2020,04003,04,14787,3596,0.2431865828092243
2021,04003,04,14662,2980,0.20324648751875596
2022,04003,04,14537,2253,0.1549838343537181
2023,04003,04,14424,2253,0.15619800332778702
2024,04003,04,14334,1396,0.09739081903167295
2025,04003,04,14273,1675,0.11735444545645625
2019,04004,04,5584,2041,0.3655085959885387
2020,04004,04,5523,3085,0.5585732391816042
2021,04004,04,5476,2946,0.5379839298758218
2022,04004,04,5429,2414,0.44464910664947505
2023,04004,04,5388,2403,0.4459910913140312
2024,04004,04,5354,1519,0.28371311169219277
2025,04004,04,5331,1202,0.2254736447195648
2019,04005,04,1918,1624,0.8467153284671532
2020,04005,04,1897,2283,1.2034791776489193
2021,04005,04,1881,1819,0.9670388091440723
2022,04005,04,1865,1222,0.6552278820375335
2023,04005,04,1850,687,0.37135135135135133
2024,04005,04,1839,382,0.2077215878194671
2025,04005,04,1831,367,0.2004369197160022
2019,04006,04,3157,1535,0.48622109597719354
2020,04006,04,3122,2741,0.8779628443305574
2021,04006,04,3096,2388,0.7713178294573644
2022,04006,04,3069,1285,0.4187031606386445
2023,04006,04,3045,1348,0.4426929392446634
2024,04006,04,3026,984,0.325181758096497
2025,04006,04,3013,772,0.25622303352140724
2019,04007,04,528,1467,2.778409090909091
2020,04007,04,522,2137,4.093869731800766
2021,04007,04,518,763,1.472972972972973
2022,04007,04,513,312,0.6081871345029239
2023,04007,04,509,336,0.6601178781925344
2024,04007,04,506,176,0.34782608695652173
2025,04007,04,504,143,0.2837301587301587
2019,04008,04,663,1345,2.028657616892911
2020,04008,04,656,1461,2.2271341463414633
2021,04008,04,650,555,0.8538461538461538
2022,04008,04,645,385,0.5968992248062015
2023,04008,04,640,240,0.375
2024,04008,04,636,110,0.17295597484276728
2025,04008,04,633,118,0.18641390205371247
2019,04009,04,4447,2063,0.4639082527546661
2020,04009,04,4398,2630,0.5979990904956799
2021,04009,04,4361,2253,0.5166246273790415
2022,04009,04,4324,1708,0.395004625346901
2023,04009,04,4290,1417,0.3303030303030303
2024,04009,04,4263,786,0.18437719915552428
2025,04009,04,4245,793,0.18680800942285042
2019,04010,04,2742,1253,0.45696571845368344
2020,04010,04,2712,1529,0.5637905604719764
2021,04010,04,2689,2197,0.8170323540349572
2022,04010,04,2666,1624,0.609152288072018
2023,04010,04,2646,1250,0.47241118669690096
2024,04010,04,2629,530,0.201597565614302
2025,04010,04,2618,409,0.1562261268143621
2019,04011,04,4050,1834,0.4528395061728395
2020,04011,04,4006,2529,0.6313030454318522
2021,04011,04,3972,2727,0.6865558912386707
2022,04011,04,3938,2032,0.515997968511935
2023,04011,04,3908,2068,0.5291709314227226
2024,04011,04,3883,1483,0.38192119495235644
2025,04011,04,3867,1027,0.2655805534005689
2019,05001,05,43,5,0.11627906976744186
2020,05001,05,43,7,0.16279069767441862
2021,05001,05,43,4,0.09302325581395349
2022,05001,05,43,1,0.023255813953488372
2023,05001,05,44,0,0.0
2024,05001,05,44,1,0.022727272727272728
2025,05001,05,44,2,0.045454545454545456
2019,05002,05,9649,111,0.01150378277541714
2020,05002,05,9733,97,0.009966094729271551
2021,05002,05,9787,82,0.00837846122407275
2022,05002,05,9823,81,0.00824595337473277
2023,05002,05,9847,58,0.005890118817914085
2024,05002,05,9866,34,0.0034461787958645854
2025,05002,05,9885,174,0.017602427921092564
2019,05003,05,1598,23,0.014392991239048811
2020,05003,05,1612,26,0.016129032258064516
2021,05003,05,1621,10,0.006169031462060457
2022,05003,05,1627,40,0.024585125998770743
2023,05003,05,1631,87,0.05334150827713059
2024,05003,05,1634,49,0.029987760097919217
2025,05003,05,1637,101,0.06169822846670739
2019,05004,05,1840,56,0.030434782608695653
2020,05004,05,1856,70,0.03771551724137931
2021,05004,05,1866,53,0.02840300107181136
2022,05004,05,1873,34,0.018152696209289908
2023,05004,05,1878,26,0.013844515441959531
2024,05004,05,1881,10,0.00531632110579479
2025,05004,05,1885,7,0.003713527851458886
2019,05005,05,111,45,0.40540540540540543
2020,05005,05,112,40,0.35714285714285715
